natCu(d,x)62Zn					
					
					
	fit	fit			
32.5	34.61	2.46	5.26E+01	1.42E+00	5.07E+01
32.6	34.61	2.46	5.34E+01	1.44E+00	5.14E+01
32.7	34.61	2.46	5.42E+01	1.47E+00	5.22E+01
32.8	34.60	2.45	5.50E+01	1.49E+00	5.30E+01
32.9	34.58	2.45	5.58E+01	1.51E+00	5.38E+01
33.0	34.56	2.45	5.66E+01	1.53E+00	5.45E+01
33.1	34.54	2.45	5.74E+01	1.55E+00	5.53E+01
33.2	34.51	2.45	5.83E+01	1.57E+00	5.61E+01
33.3	34.47	2.45	5.91E+01	1.60E+00	5.69E+01
33.4	34.43	2.44	5.99E+01	1.62E+00	5.77E+01
33.5	34.39	2.44	6.07E+01	1.64E+00	5.85E+01
33.6	34.34	2.44	6.15E+01	1.66E+00	5.93E+01
33.7	34.29	2.43	6.23E+01	1.68E+00	6.00E+01
33.8	34.23	2.43	6.32E+01	1.71E+00	6.08E+01
33.9	34.16	2.42	6.40E+01	1.73E+00	6.16E+01
34.0	34.10	2.42	6.48E+01	1.75E+00	6.24E+01
34.1	34.03	2.41	6.56E+01	1.77E+00	6.32E+01
34.2	33.95	2.41	6.64E+01	1.80E+00	6.40E+01
34.3	33.87	2.40	6.73E+01	1.82E+00	6.48E+01
34.4	33.79	2.40	6.81E+01	1.84E+00	6.56E+01
34.5	33.70	2.39	6.89E+01	1.86E+00	6.64E+01
34.6	33.61	2.38	6.97E+01	1.88E+00	6.72E+01
34.7	33.52	2.38	7.05E+01	1.91E+00	6.80E+01
34.8	33.43	2.37	7.14E+01	1.93E+00	6.87E+01
34.9	33.33	2.36	7.22E+01	1.95E+00	6.95E+01
35.0	33.23	0.23	7.30E+01	1.97E+00	7.03E+01
35.1	33.12	0.23	7.38E+01	2.00E+00	7.11E+01
35.2	33.02	0.23	7.47E+01	2.02E+00	7.19E+01
35.3	32.91	0.23	7.55E+01	2.04E+00	7.27E+01
35.4	32.80	0.23	7.63E+01	2.06E+00	7.35E+01
35.5	32.69	0.22	7.71E+01	2.08E+00	7.43E+01
35.6	32.58	0.22	7.79E+01	2.11E+00	7.51E+01
35.7	32.46	0.22	7.88E+01	2.13E+00	7.59E+01
35.8	32.34	0.22	7.96E+01	2.15E+00	7.67E+01
35.9	32.23	0.22	8.04E+01	2.17E+00	7.74E+01
36.0	32.11	0.22	8.12E+01	2.19E+00	7.82E+01
36.1	31.99	0.22	8.20E+01	2.22E+00	7.90E+01
36.2	31.87	0.22	8.28E+01	2.24E+00	7.98E+01
36.3	31.75	0.22	8.37E+01	2.26E+00	8.06E+01
36.4	31.62	0.22	8.45E+01	2.28E+00	8.14E+01
36.5	31.50	0.22	8.53E+01	2.30E+00	8.21E+01
36.6	31.38	0.22	8.61E+01	2.33E+00	8.29E+01
36.7	31.25	0.21	8.69E+01	2.35E+00	8.37E+01
36.8	31.13	0.21	8.77E+01	2.37E+00	8.45E+01
36.9	31.00	0.21	8.85E+01	2.39E+00	8.53E+01
37.0	30.88	0.21	8.93E+01	2.41E+00	8.60E+01
37.1	30.75	0.21	9.01E+01	2.44E+00	8.68E+01
37.2	30.62	0.21	9.09E+01	2.46E+00	8.76E+01
37.3	30.49	0.21	9.17E+01	2.48E+00	8.83E+01
37.4	30.37	0.21	9.25E+01	2.50E+00	8.91E+01
37.5	30.24	0.21	9.33E+01	2.52E+00	8.99E+01
37.6	30.11	0.21	9.41E+01	2.54E+00	9.06E+01
37.7	29.98	0.21	9.49E+01	2.56E+00	9.14E+01
37.8	29.85	0.20	9.57E+01	2.59E+00	9.22E+01
37.9	29.72	0.20	9.65E+01	2.61E+00	9.29E+01
38.0	29.59	0.20	9.73E+01	2.63E+00	9.37E+01
38.1	29.46	0.20	9.81E+01	2.65E+00	9.45E+01
38.2	29.33	0.20	9.88E+01	2.67E+00	9.52E+01
38.3	29.20	0.20	9.96E+01	2.69E+00	9.60E+01
38.4	29.07	0.20	1.00E+02	2.71E+00	9.67E+01
38.5	28.94	0.20	1.01E+02	2.73E+00	9.75E+01
38.6	28.81	0.20	1.02E+02	2.76E+00	9.82E+01
38.7	28.68	0.20	1.03E+02	2.78E+00	9.90E+01
38.8	28.55	0.20	1.04E+02	2.80E+00	9.97E+01
38.9	28.42	0.20	1.04E+02	2.82E+00	1.00E+02
39.0	28.29	0.19	1.05E+02	2.84E+00	1.01E+02
39.1	28.16	0.19	1.06E+02	2.86E+00	1.02E+02
39.2	28.03	0.19	1.07E+02	2.88E+00	1.03E+02
39.3	27.90	0.19	1.07E+02	2.90E+00	1.03E+02
39.4	27.78	0.19	1.08E+02	2.92E+00	1.04E+02
39.5	27.65	0.19	1.09E+02	2.94E+00	1.05E+02
39.6	27.52	0.19	1.10E+02	2.96E+00	1.06E+02
39.7	27.40	0.19	1.10E+02	2.98E+00	1.06E+02
39.8	27.27	0.19	1.11E+02	3.00E+00	1.07E+02
39.9	27.15	0.19	1.12E+02	3.02E+00	1.08E+02
40.0	27.02	1.84	1.13E+02	3.04E+00	1.09E+02
40.1	26.90	1.83	1.13E+02	3.06E+00	1.09E+02
40.2	26.78	1.83	1.14E+02	3.08E+00	1.10E+02
40.3	26.66	1.82	1.15E+02	3.10E+00	1.11E+02
40.4	26.54	1.81	1.16E+02	3.12E+00	1.11E+02
40.5	26.42	1.80	1.16E+02	3.14E+00	1.12E+02
40.6	26.30	1.79	1.17E+02	3.16E+00	1.13E+02
40.7	26.18	1.78	1.18E+02	3.18E+00	1.13E+02
40.8	26.06	1.78	1.19E+02	3.20E+00	1.14E+02
40.9	25.95	1.77	1.19E+02	3.22E+00	1.15E+02
41.0	25.83	1.76	1.20E+02	3.24E+00	1.16E+02
41.1	25.71	1.75	1.21E+02	3.26E+00	1.16E+02
41.2	25.60	1.75	1.21E+02	3.28E+00	1.17E+02
41.3	25.48	1.74	1.22E+02	3.30E+00	1.18E+02
41.4	25.37	1.73	1.23E+02	3.32E+00	1.18E+02
41.5	25.26	1.72	1.24E+02	3.34E+00	1.19E+02
41.6	25.14	1.71	1.24E+02	3.36E+00	1.20E+02
41.7	25.03	1.71	1.25E+02	3.38E+00	1.20E+02
41.8	24.92	1.70	1.26E+02	3.40E+00	1.21E+02
41.9	24.81	1.69	1.26E+02	3.42E+00	1.22E+02
42.0	24.70	1.68	1.27E+02	3.44E+00	1.22E+02
42.1	24.59	1.68	1.28E+02	3.46E+00	1.23E+02
42.2	24.48	1.67	1.29E+02	3.47E+00	1.24E+02
42.3	24.37	1.66	1.29E+02	3.49E+00	1.24E+02
42.4	24.26	1.65	1.30E+02	3.51E+00	1.25E+02
42.5	24.15	1.65	1.31E+02	3.53E+00	1.26E+02
42.6	24.04	1.64	1.31E+02	3.55E+00	1.27E+02
42.7	23.94	1.63	1.32E+02	3.57E+00	1.27E+02
42.8	23.83	1.62	1.33E+02	3.59E+00	1.28E+02
42.9	23.72	1.62	1.33E+02	3.61E+00	1.28E+02
43.0	23.62	1.61	1.34E+02	3.62E+00	1.29E+02
43.1	23.51	1.60	1.35E+02	3.64E+00	1.30E+02
43.2	23.41	1.60	1.35E+02	3.66E+00	1.30E+02
43.3	23.31	1.59	1.36E+02	3.68E+00	1.31E+02
43.4	23.20	1.58	1.37E+02	3.70E+00	1.32E+02
43.5	23.10	1.57	1.37E+02	3.72E+00	1.32E+02
43.6	23.00	1.57	1.38E+02	3.73E+00	1.33E+02
43.7	22.90	1.56	1.39E+02	3.75E+00	1.34E+02
43.8	22.80	1.55	1.39E+02	3.77E+00	1.34E+02
43.9	22.70	1.55	1.40E+02	3.79E+00	1.35E+02
44.0	22.60	1.54	1.41E+02	3.81E+00	1.36E+02
44.1	22.50	1.53	1.41E+02	3.82E+00	1.36E+02
44.2	22.41	1.53	1.42E+02	3.84E+00	1.37E+02
44.3	22.31	1.52	1.43E+02	3.86E+00	1.38E+02
44.4	22.21	1.51	1.43E+02	3.88E+00	1.38E+02
44.5	22.12	1.51	1.44E+02	3.90E+00	1.39E+02
44.6	22.03	1.50	1.45E+02	3.91E+00	1.39E+02
44.7	21.93	1.50	1.45E+02	3.93E+00	1.40E+02
44.8	21.84	1.49	1.46E+02	3.95E+00	1.41E+02
44.9	21.75	1.48	1.47E+02	3.97E+00	1.41E+02
45.0	21.66	1.48	1.47E+02	3.98E+00	1.42E+02
45.1	21.57	1.47	1.48E+02	4.00E+00	1.43E+02
45.2	21.48	1.47	1.49E+02	4.02E+00	1.43E+02
45.3	21.39	1.46	1.49E+02	4.04E+00	1.44E+02
45.4	21.31	1.46	1.50E+02	4.05E+00	1.44E+02
45.5	21.22	1.45	1.51E+02	4.07E+00	1.45E+02
45.6	21.13	1.44	1.51E+02	4.09E+00	1.46E+02
45.7	21.05	1.44	1.52E+02	4.10E+00	1.46E+02
45.8	20.97	1.43	1.53E+02	4.12E+00	1.47E+02
45.9	20.88	1.43	1.53E+02	4.14E+00	1.48E+02
46.0	20.80	1.42	1.54E+02	4.16E+00	1.48E+02
46.1	20.72	1.42	1.54E+02	4.17E+00	1.49E+02
46.2	20.64	1.41	1.55E+02	4.19E+00	1.49E+02
46.3	20.56	1.40	1.56E+02	4.21E+00	1.50E+02
46.4	20.48	1.40	1.56E+02	4.22E+00	1.51E+02
46.5	20.40	1.39	1.57E+02	4.24E+00	1.51E+02
46.6	20.33	1.39	1.58E+02	4.26E+00	1.52E+02
46.7	20.25	1.38	1.58E+02	4.27E+00	1.52E+02
46.8	20.17	1.38	1.59E+02	4.29E+00	1.53E+02
46.9	20.10	1.37	1.59E+02	4.31E+00	1.54E+02
47.0	20.02	1.37	1.60E+02	4.32E+00	1.54E+02
47.1	19.95	1.36	1.61E+02	4.34E+00	1.55E+02
47.2	19.88	1.36	1.61E+02	4.36E+00	1.55E+02
47.3	19.80	1.35	1.62E+02	4.37E+00	1.56E+02
47.4	19.73	1.35	1.62E+02	4.39E+00	1.57E+02
47.5	19.66	1.34	1.63E+02	4.41E+00	1.57E+02
47.6	19.58	1.34	1.64E+02	4.42E+00	1.58E+02
47.7	19.51	1.33	1.64E+02	4.44E+00	1.58E+02
47.8	19.44	1.33	1.65E+02	4.46E+00	1.59E+02
47.9	19.37	1.32	1.66E+02	4.47E+00	1.59E+02
48.0	19.30	1.32	1.66E+02	4.49E+00	1.60E+02
48.1	19.22	1.31	1.67E+02	4.51E+00	1.61E+02
48.2	19.15	1.31	1.67E+02	4.52E+00	1.61E+02
48.3	19.08	1.30	1.68E+02	4.54E+00	1.62E+02
48.4	19.01	1.30	1.69E+02	4.56E+00	1.62E+02
48.5	18.94	1.29	1.69E+02	4.57E+00	1.63E+02
48.6	18.87	1.29	1.70E+02	4.59E+00	1.63E+02
48.7	18.80	1.28	1.70E+02	4.60E+00	1.64E+02
48.8	18.74	1.28	1.71E+02	4.62E+00	1.65E+02
48.9	18.67	1.28	1.72E+02	4.64E+00	1.65E+02
49.0	18.61	1.27	1.72E+02	4.65E+00	1.66E+02
49.1	18.54	1.27	1.73E+02	4.67E+00	1.66E+02
49.2	18.48	1.26	1.73E+02	4.68E+00	1.67E+02
49.3	18.42	1.26	1.74E+02	4.70E+00	1.67E+02
49.4	18.36	1.25	1.74E+02	4.72E+00	1.68E+02
49.5	18.30	1.25	1.75E+02	4.73E+00	1.69E+02
49.6	18.24	1.25	1.76E+02	4.75E+00	1.69E+02
49.7	18.18	1.24	1.76E+02	4.76E+00	1.70E+02
49.8	18.12	1.24	1.77E+02	4.78E+00	1.70E+02
49.9	18.06	1.23	1.77E+02	4.79E+00	1.71E+02
50.0	18.01	1.25	1.78E+02	4.81E+00	1.71E+02
50.1	17.95	1.25	1.79E+02	4.83E+00	1.72E+02
50.2	17.89	1.24	1.79E+02	4.84E+00	1.73E+02
50.3	17.84	1.24	1.80E+02	4.86E+00	1.73E+02
50.4	17.78	1.24	1.80E+02	4.87E+00	1.74E+02
50.5	17.73	1.23	1.81E+02	4.89E+00	1.74E+02
50.6	17.67	1.23	1.81E+02	4.90E+00	1.75E+02
50.7	17.61	1.22	1.82E+02	4.92E+00	1.75E+02
50.8	17.56	1.22	1.83E+02	4.93E+00	1.76E+02
50.9	17.50	1.22	1.83E+02	4.95E+00	1.76E+02
51.0	17.45	1.21	1.84E+02	4.97E+00	1.77E+02
51.1	17.39	1.21	1.84E+02	4.98E+00	1.78E+02
51.2	17.34	1.20	1.85E+02	5.00E+00	1.78E+02
51.3	17.28	1.20	1.85E+02	5.01E+00	1.79E+02
51.4	17.23	1.20	1.86E+02	5.03E+00	1.79E+02
51.5	17.18	1.19	1.87E+02	5.04E+00	1.80E+02
51.6	17.12	1.19	1.87E+02	5.06E+00	1.80E+02
51.7	17.07	1.19	1.88E+02	5.07E+00	1.81E+02
51.8	17.02	1.18	1.88E+02	5.09E+00	1.81E+02
51.9	16.96	1.18	1.89E+02	5.10E+00	1.82E+02
52.0	16.91	1.17	1.89E+02	5.12E+00	1.82E+02
52.1	16.86	1.17	1.90E+02	5.13E+00	1.83E+02
52.2	16.81	1.17	1.91E+02	5.15E+00	1.84E+02
52.3	16.75	1.16	1.91E+02	5.16E+00	1.84E+02
52.4	16.70	1.16	1.92E+02	5.18E+00	1.85E+02
52.5	16.65	1.16	1.92E+02	5.20E+00	1.85E+02
52.6	16.60	1.15	1.93E+02	5.21E+00	1.86E+02
52.7	16.55	1.15	1.93E+02	5.23E+00	1.86E+02
52.8	16.50	1.15	1.94E+02	5.24E+00	1.87E+02
52.9	16.45	1.14	1.94E+02	5.26E+00	1.87E+02
53.0	16.40	1.14	1.95E+02	5.27E+00	1.88E+02
53.1	16.35	1.14	1.96E+02	5.29E+00	1.88E+02
53.2	16.30	1.13	1.96E+02	5.30E+00	1.89E+02
53.3	16.25	1.13	1.97E+02	5.32E+00	1.89E+02
53.4	16.21	1.13	1.97E+02	5.33E+00	1.90E+02
53.5	16.16	1.12	1.98E+02	5.35E+00	1.90E+02
53.6	16.11	1.12	1.98E+02	5.36E+00	1.91E+02
53.7	16.06	1.12	1.99E+02	5.37E+00	1.92E+02
53.8	16.02	1.11	1.99E+02	5.39E+00	1.92E+02
53.9	15.97	1.11	2.00E+02	5.40E+00	1.93E+02
54.0	15.92	1.11	2.01E+02	5.42E+00	1.93E+02
54.1	15.88	1.10	2.01E+02	5.43E+00	1.94E+02
54.2	15.83	1.10	2.02E+02	5.45E+00	1.94E+02
54.3	15.79	1.10	2.02E+02	5.46E+00	1.95E+02
54.4	15.74	1.09	2.03E+02	5.48E+00	1.95E+02
54.5	15.70	1.09	2.03E+02	5.49E+00	1.96E+02
54.6	15.65	1.09	2.04E+02	5.51E+00	1.96E+02
54.7	15.61	1.08	2.04E+02	5.52E+00	1.97E+02
54.8	15.57	1.08	2.05E+02	5.54E+00	1.97E+02
54.9	15.52	1.08	2.05E+02	5.55E+00	1.98E+02
55.0	15.48	1.08	2.06E+02	5.57E+00	1.98E+02
55.1	15.44	1.07	2.07E+02	5.58E+00	1.99E+02
55.2	15.40	1.07	2.07E+02	5.60E+00	1.99E+02
55.3	15.36	1.07	2.08E+02	5.61E+00	2.00E+02
55.4	15.31	1.06	2.08E+02	5.63E+00	2.01E+02
55.5	15.27	1.06	2.09E+02	5.64E+00	2.01E+02
55.6	15.23	1.06	2.09E+02	5.66E+00	2.02E+02
55.7	15.19	1.06	2.10E+02	5.67E+00	2.02E+02
55.8	15.15	1.05	2.10E+02	5.68E+00	2.03E+02
55.9	15.11	1.05	2.11E+02	5.70E+00	2.03E+02
56.0	15.08	1.05	2.11E+02	5.71E+00	2.04E+02
56.1	15.04	1.04	2.12E+02	5.73E+00	2.04E+02
56.2	15.00	1.04	2.12E+02	5.74E+00	2.05E+02
56.3	14.96	1.04	2.13E+02	5.76E+00	2.05E+02
56.4	14.92	1.04	2.14E+02	5.77E+00	2.06E+02
56.5	14.89	1.03	2.14E+02	5.79E+00	2.06E+02
56.6	14.85	1.03	2.15E+02	5.80E+00	2.07E+02
56.7	14.81	1.03	2.15E+02	5.82E+00	2.07E+02
56.8	14.78	1.03	2.16E+02	5.83E+00	2.08E+02
56.9	14.74	1.02	2.16E+02	5.84E+00	2.08E+02
57.0	14.70	1.02	2.17E+02	5.86E+00	2.09E+02
57.1	14.67	1.02	2.17E+02	5.87E+00	2.09E+02
57.2	14.63	1.02	2.18E+02	5.89E+00	2.10E+02
57.3	14.60	1.01	2.18E+02	5.90E+00	2.10E+02
57.4	14.56	1.01	2.19E+02	5.92E+00	2.11E+02
57.5	14.53	1.01	2.19E+02	5.93E+00	2.11E+02
57.6	14.49	1.01	2.20E+02	5.95E+00	2.12E+02
57.7	14.46	1.00	2.21E+02	5.96E+00	2.12E+02
57.8	14.42	1.00	2.21E+02	5.97E+00	2.13E+02
57.9	14.39	1.00	2.22E+02	5.99E+00	2.13E+02
58.0	14.36	1.00	2.22E+02	6.00E+00	2.14E+02
58.1	14.32	0.99	2.23E+02	6.02E+00	2.14E+02
58.2	14.29	0.99	2.23E+02	6.03E+00	2.15E+02
58.3	14.25	0.99	2.24E+02	6.05E+00	2.15E+02
58.4	14.22	0.99	2.24E+02	6.06E+00	2.16E+02
58.5	14.19	0.99	2.25E+02	6.07E+00	2.16E+02
