X,Y
1.04402,125.2658
1.04828,118.7806
1.05254,118.0000
1.05680,122.6667
1.06106,126.7468
1.06532,126.6709
1.06958,129.0380
1.07385,124.6667
1.07811,121.2025
1.08237,119.8608
1.08663,122.3207
1.09089,124.3629
1.09515,124.4346
1.09941,123.5063
1.10368,125.9451
1.10794,129.1392
1.11220,131.4219
1.11646,129.4894
1.12072,125.0042
1.12498,122.8945
1.12924,123.6878
1.13350,126.5443
1.13777,133.6076
1.14203,128.8945
1.14629,123.9831
1.15055,121.2489
1.15481,121.0970
1.15907,122.5527
1.16333,123.6667
1.16759,123.7300
1.17186,122.5190
1.17612,123.5063
1.18038,123.9873
1.18464,124.9620
1.18890,125.9367
1.19316,126.7595
1.19742,127.7384
1.20169,127.7173
1.20595,122.3038
1.21021,122.8101
1.21447,123.5570
1.21873,123.7595
1.22299,123.6540
1.22725,123.6371
1.23151,124.6329
1.23578,124.3291
1.24004,122.1055
1.24430,123.4051
1.24856,124.2068
1.25282,123.4473
1.25708,123.2869
1.26134,123.5021
1.26560,125.1055
1.26987,127.6793
1.27413,130.2616
1.27839,126.3333
1.28265,123.4135
1.28691,123.3333
1.29117,127.2236
1.29543,127.7173
1.29969,126.7595
1.30396,124.0422
1.30822,121.3249
1.31248,123.1983
1.31674,124.8143
1.32100,126.9451
1.32526,126.9409
1.32952,125.7679
1.33379,124.9240
1.33805,123.9156
1.34231,128.2827
1.34657,129.6667
1.35083,132.2869
1.35509,131.5907
1.35935,124.4473
1.36361,118.0042
1.36788,122.7932
1.37214,131.9789
1.37640,136.1181
1.38066,128.9705
1.38492,125.5696
1.38918,127.8397
1.39344,130.3249
1.39770,128.3840
1.40197,125.2236
1.40623,124.4894
1.41049,127.4473
1.41475,127.7932
1.41901,127.4051
1.42327,127.7890
1.42753,128.0549
1.43180,128.4262
1.43606,128.2869
1.44032,128.0380
1.44458,125.1814
1.44884,125.9283
1.45310,126.4388
1.45736,127.8903
1.46162,128.3418
1.46589,128.4515
1.47015,128.0886
1.47441,127.7004
1.47867,125.4641
1.48293,125.8734
1.48719,126.4726
1.49145,126.6203
1.49571,127.2954
1.49998,127.9409
1.50424,128.4895
1.50850,129.1477
1.51276,125.8397
1.51702,124.8397
1.52128,126.8270
1.52554,131.4262
1.52980,132.7890
1.53407,131.5190
1.53833,131.1435
1.54259,133.4177
1.54685,122.8101
1.55111,124.3080
1.55537,126.3460
1.55963,127.4346
1.56390,128.3755
1.56816,128.2110
1.57242,127.1224
1.57668,126.0675
1.58094,126.7848
1.58520,125.7089
1.58946,124.5190
1.59372,124.8439
1.59799,127.0760
1.60225,126.8650
1.60651,125.6667
1.61077,124.0970
1.61503,125.5907
1.61929,123.6667
1.62355,121.4346
1.62781,121.2152
1.63208,123.2025
1.63634,126.7679
1.64060,129.5823
1.64486,131.7047
1.64912,135.9283
1.65338,127.4515
1.65764,120.1477
1.66191,121.6920
1.66617,127.9662
1.67043,128.5654
1.67469,127.6582
1.67895,126.7004
1.68321,125.0000
1.68747,124.0211
1.69173,126.3671
1.69600,131.6287
1.70026,135.8650
1.70452,133.2278
1.70878,124.0760
1.71304,115.5992
1.71730,126.2996
1.72156,130.1814
1.72582,131.6245
1.73009,130.1857
1.73435,128.9198
1.73861,130.5570
1.74287,131.1561
1.74713,129.0000
1.75139,130.7342
1.75565,126.4304
1.75991,123.6835
1.76418,126.4008
1.76844,130.5865
1.77270,132.8439
1.77696,129.2236
1.78122,125.1646
1.78548,131.6624
1.78974,129.2321
1.79401,126.9873
1.79827,128.4641
1.80253,132.2574
1.80679,134.6667
1.81105,131.8608
1.81531,129.1688
1.81957,133.1181
1.82383,127.5274
1.82810,125.1477
1.83236,129.6624
1.83662,134.9409
1.84088,135.8439
1.84514,135.1983
1.84940,135.1772
1.85366,135.4810
1.85792,134.1603
1.86219,133.2194
1.86645,134.1814
1.87071,135.9241
1.87497,136.4810
1.87923,135.7511
1.88349,134.9283
1.88775,133.1561
1.89201,132.5401
1.89628,131.4346
1.90054,132.8270
1.90480,134.4473
1.90906,136.0042
1.91332,136.5443
1.91758,135.9114
1.92184,137.3882
1.92611,136.3713
1.93037,135.5316
1.93463,137.7468
1.93889,140.2785
1.94315,139.7722
1.94741,136.8819
1.95167,133.7426
1.95593,137.4768
1.96020,138.4895
1.96446,140.8903
1.96872,141.9198
1.97298,141.1857
1.97724,138.9156
1.98150,138.8101
1.98576,140.0338
1.99002,138.8903
1.99429,141.0042
1.99855,147.3502
2.00281,151.2152
2.00707,149.3333
2.01133,144.0084
2.01559,143.3122
2.01985,146.0000
2.02412,142.0380
2.02838,142.2827
2.03264,143.1308
2.03690,143.1983
2.04116,143.8566
2.04542,142.5823
2.04968,141.4430
2.05394,140.7004
2.05821,138.8017
2.06247,137.9072
2.06673,138.7764
2.07099,144.2616
2.07525,147.3924
2.07951,146.1561
2.08377,146.1434
2.08803,146.9283
2.09230,151.9283
2.09656,150.8650
2.10082,148.6287
2.10508,146.0042
2.10934,142.2658
2.11360,139.6498
2.11786,139.9705
2.12212,140.7089
2.12639,148.6667
2.13065,149.2278
2.13491,150.5527
2.13917,150.7848
2.14343,147.1224
2.14769,142.0000
2.15195,143.0000
2.15622,146.6667
2.16048,143.8861
2.16474,142.3797
2.16900,145.1097
2.17326,150.4852
2.17752,152.2194
2.18178,149.0506
2.18604,145.3418
2.19031,144.5021
2.19457,145.1097
2.19883,148.6034
2.20309,145.9409
2.20735,146.0380
2.21161,151.4726
2.21587,150.3038
2.22013,146.9916
2.22440,148.7511
2.22866,153.7468
2.23292,153.1646
2.23718,152.4557
2.24144,151.7215
2.24570,152.2194
2.24996,152.1603
2.25423,151.9705
2.25849,151.6962
2.26275,149.7932
2.26701,145.6245
2.27127,147.7511
2.27553,152.5612
2.27979,150.0464
2.28405,143.0253
2.28832,145.9958
2.29258,154.8903
2.29684,157.9198
2.30110,153.8819
2.30536,149.9114
2.30962,148.4177
2.31388,149.1646
2.31814,151.4304
2.32241,154.3587
2.32667,156.1350
2.33093,157.4093
2.33519,151.7933
2.33945,148.0506
2.34371,149.0000
2.34797,152.9494
2.35223,154.9620
2.35650,152.6667
2.36076,149.0253
2.36502,144.5316
2.36928,146.5401
2.37354,148.3333
2.37780,146.5865
2.38206,143.9451
2.38633,141.0211
2.39059,141.6034
2.39485,143.1139
2.39911,145.9198
2.40337,143.8608
2.40763,141.1814
2.41189,142.3333
2.41615,142.5105
2.42042,143.3966
2.42468,144.8650
2.42894,145.8819
2.43320,145.3165
2.43746,140.5992
2.44172,140.0000
2.44598,143.4430
2.45024,142.9831
2.45451,137.7215
2.45877,136.7384
2.46303,141.0000
2.46729,141.9958
2.47155,140.6667
2.47581,139.0760
2.48007,137.2321
2.48433,137.1941
2.48860,137.9409
2.49286,140.2616
2.49712,140.6667
2.50138,135.4810
2.50564,137.3291
2.50990,138.0928
2.51416,135.8017
2.51843,135.2953
2.52269,136.1561
2.52695,135.3460
2.53121,132.7047
2.53547,133.1350
2.53973,133.5148
2.54399,135.4473
2.54825,135.5654
2.55252,135.2194
2.55678,134.5232
2.56104,135.7257
2.56530,136.5063
2.56956,139.2110
2.57382,135.6245
2.57808,131.6498
2.58234,131.0042
2.58661,133.3333
2.59087,133.6371
2.59513,132.5148
2.59939,129.6835
2.60365,131.5992
2.60791,132.8354
2.61217,134.0675
2.61644,135.1224
2.62070,134.8819
2.62496,132.6667
2.62922,130.5401
2.63348,129.3122
2.63774,131.2701
2.64200,131.4557
2.64626,125.9536
2.65053,124.7468
2.65479,128.8101
2.65905,128.5654
2.66331,126.7553
2.66757,129.4852
2.67183,131.0422
2.67609,130.0000
2.68035,129.8987
2.68462,131.5823
2.68888,131.6582
2.69314,131.6667
2.69740,129.6709
2.70166,127.7173
2.70592,131.6667
2.71018,132.3840
2.71444,131.0633
2.71871,126.8186
2.72297,124.0000
2.72723,124.4641
2.73149,127.4768
2.73575,131.4135
2.74001,130.7511
2.74427,126.8397
2.74854,125.3797
2.75280,128.8650
2.75706,132.5232
2.76132,130.7975
2.76558,128.4979
2.76984,127.3460
2.77410,130.6793
2.77836,128.3333
2.78263,127.7089
2.78689,128.5021
2.79115,126.8312
2.79541,123.5063
2.79967,122.5274
2.80393,123.9958
2.80819,129.0000
2.81245,129.7089
2.81672,127.9452
2.82098,123.2658
2.82524,123.5232
2.82950,126.6667
2.83376,129.2489
2.83802,128.8565
2.84228,126.7764
2.84654,125.3333
2.85081,124.3966
2.85507,125.2110
2.85933,127.0000
2.86359,128.0000
2.86785,127.0000
2.87211,125.4473
2.87637,127.9409
2.88064,128.0380
2.88490,128.6160
2.88916,128.0802
2.89342,126.5232
2.89768,124.4768
2.90194,122.8734
2.90620,122.0000
2.91046,128.3671
2.91473,127.6329
2.91899,126.6835
2.92325,125.3333
2.92751,124.2447
2.93177,124.4008
2.93603,125.7975
2.94029,127.0675
2.94455,126.0802
2.94882,125.1730
2.95308,122.8945
2.95734,122.0970
2.96160,122.0717
2.96586,124.6667
2.97012,127.1561
2.97438,128.8397
2.97865,129.0295
2.98291,123.0380
2.98717,120.5907
2.99143,123.1983
2.99569,126.4346
2.99995,127.1561
3.00421,127.1814
3.00847,127.3333
3.01274,126.9030
3.01700,125.0380
3.02126,121.3165
3.02552,118.6540
3.02978,118.0000
3.03404,121.0253
3.03830,126.6667
3.04256,130.3713
3.04683,127.8523
3.05109,124.5823
3.05535,122.6456
3.05961,123.7933
3.06387,124.1688
3.06813,122.3797
3.07239,121.0886
3.07665,122.0464
3.08092,123.3418
3.08518,121.1266
3.08944,118.8565
3.09370,121.3375
3.09796,125.7933
3.10222,127.7637
3.10648,126.2447
3.11075,123.0295
3.11501,127.9283
3.11927,126.7089
3.12353,121.5570
3.12779,117.8059
3.13205,120.4937
3.13631,126.3671
3.14057,127.1181
3.14484,123.3165
3.14910,124.9916
3.15336,125.2869
3.15762,125.6076
3.16188,125.9536
3.16614,124.9283
3.17040,123.7511
3.17466,122.1941
3.17893,121.6625
3.18319,120.8228
3.18745,123.0717
3.19171,124.4430
3.19597,124.8101
3.20023,123.6962
3.20449,122.0633
3.20876,121.6878
3.21302,122.7890
3.21728,122.8903
3.22154,124.3291
3.22580,124.2743
3.23006,123.7131
3.23432,125.4304
3.23858,126.9536
3.24285,125.5781
3.24711,121.6329
3.25137,118.6835
3.25563,120.0000
3.25989,122.3671
3.26415,123.5527
3.26841,123.3755
3.27267,122.1477
3.27694,119.6413
3.28120,118.1013
3.28546,119.5485
3.28972,120.5021
3.29398,121.9789
3.29824,121.9409
3.30250,121.5232
3.30676,122.3333
3.31103,123.8354
3.31529,125.8481
3.31955,125.3333
3.32381,124.4599
3.32807,123.3333
3.33233,119.7679
3.33659,117.4810
3.34086,118.0760
3.34512,122.6667
3.34938,126.6667
3.35364,124.6920
3.35790,124.6667
3.36216,123.6413
3.36642,121.6667
3.37068,119.7131
3.37495,119.7679
3.37921,123.0760
3.38347,125.1013
3.38773,129.4093
3.39199,125.0295
3.39625,120.8439
3.40051,123.0338
3.40477,127.5823
3.40904,128.4937
3.41330,125.2321
3.41756,120.4979
3.42182,126.3291
3.42608,123.9620
3.43034,121.4599
3.43460,124.5865
3.43886,129.5148
3.44313,128.8439
3.44739,123.5063
3.45165,118.7679
3.45591,121.9156
3.46017,124.5148
3.46443,127.6835
3.46869,126.2194
3.47296,122.8059
3.47722,121.4557
3.48148,123.4051
3.48574,126.2827
3.49000,129.0126
3.49426,125.5654
3.49852,122.6413
3.50278,121.7384
3.50705,124.3038
3.51131,126.2321
3.51557,126.3333
3.51983,124.8819
3.52409,123.7384
3.52835,123.5696
3.53261,124.0422
3.53687,124.6540
3.54114,123.8903
3.54540,122.8650
3.54966,125.4262
3.55392,130.4430
3.55818,127.9705
3.56244,125.8945
3.56670,124.3249
3.57097,123.5485
3.57523,124.0802
3.57949,124.3460
3.58375,123.2658
3.58801,121.5148
3.59227,124.7722
3.59653,128.0506
3.60079,131.1899
3.60506,130.9705
3.60932,127.9494
3.61358,125.5316
3.61784,122.4979
3.62210,120.4262
3.62636,126.3755
3.63062,125.6624
3.63488,128.8523
3.63915,131.3207
3.64341,125.1772
3.64767,117.4304
3.65193,120.9198
3.65619,131.3122
3.66045,128.0633
3.66471,128.1646
3.66897,130.4641
3.67324,131.4219
3.67750,125.2532
3.68176,118.4810
3.68602,121.8987
3.69028,129.4135
3.69454,122.3840
3.69880,123.3671
3.70307,125.0000
3.70733,126.0169
3.71159,127.0084
3.71585,124.9620
3.72011,123.5654
3.72437,121.4979
3.72863,125.9283
3.73289,128.3418
3.73716,128.8987
3.74142,125.7806
3.74568,124.3376
3.74994,126.2321
3.75420,127.6667
3.75846,126.5570
3.76272,128.8017
3.76698,126.5401
3.77125,124.1392
3.77551,124.3587
3.77977,125.1519
3.78403,126.9325
3.78829,127.4051
3.79255,127.4937
3.79681,129.2785
3.80107,128.7089
3.80534,127.8270
3.80960,128.5949
3.81386,128.4557
3.81812,127.6498
3.82238,124.6667
3.82664,122.0338
3.83090,128.2532
3.83517,125.3333
3.83943,121.2067
3.84369,120.7511
3.84795,122.6667
3.85221,123.9240
3.85647,123.8186
3.86073,122.8017
3.86499,126.3713
3.86926,123.5021
3.87352,120.4979
3.87778,122.1603
3.88204,126.1983
