Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
47V,1243.5,0.0025,0.0006,1956.0,32.6,0.5433333333333333,0.02263888888888889
MN-52g,1246.278,4.21,0.07,483062.4,8051.04,134.184,5.591
MN-52g,1247.88,0.38,0.04,483062.4,8051.04,134.184,5.591
56CO,1271.92,0.02,0.0007,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
FE-53g,1288.0,0.04,0.04,510.6,8.51,0.14183333333333334,0.0059097222222222225
59FE,1291.59,43.2,1.4,3844368.0,64072.8,1067.88,44.495
48V,1312.106,98.2,0.3,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
55CO,1316.6,7.1,0.3,63108.0,1051.8,17.53,0.7304166666666667
FE-53m,1328.1,87.0,11.0,152.4,2.54,0.042333333333333334,0.001763888888888889
60CO,1332.492,99.9826,0.0006,166344200.0,2772403.3333333335,46206.72222222222,1925.2800925925926
MN-52m,1332.62,0.029,0.01,1266.0,21.1,0.3516666666666667,0.014652777777777778
52V,1333.62,0.588,0.012,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,1333.649,5.07,0.07,483062.4,8051.04,134.184,5.591
56CO,1335.4,0.1224,0.0012,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
51MN,1353.9,0.008,0.0013,2772.0,46.2,0.77,0.03208333333333333
56CO,1360.212,4.283,0.012,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
49CR,1361.61,0.045,0.005,2538.0,42.3,0.705,0.029375
55CO,1370.0,2.9,0.3,63108.0,1051.8,17.53,0.7304166666666667
47V,1390.4,0.079,0.003,1956.0,32.6,0.5433333333333333,0.02263888888888889
FE-53g,1397.6,0.008,0.004,510.6,8.51,0.14183333333333334,0.0059097222222222225
55CR,1402.0,0.00133,0.00021,209.82,3.497,0.05828333333333333,0.002428472222222222
55CO,1408.5,16.9,0.8,63108.0,1051.8,17.53,0.7304166666666667
49CR,1423.3,0.01,0.003,2538.0,42.3,0.705,0.029375
52V,1434.06,100.0,1.4,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,1434.06,98.2,0.5,1266.0,21.1,0.3516666666666667,0.014652777777777778
MN-52g,1434.092,100.0,1.4,483062.4,8051.04,134.184,5.591
48V,1437.52,0.12,0.003,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
56CO,1442.746,0.18,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,1462.322,0.074,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
59FE,1481.7,0.059,0.006,3844368.0,64072.8,1067.88,44.495
49CR,1508.3,0.008,0.003,2538.0,42.3,0.705,0.029375
49CR,1514.1,0.026,0.003,2538.0,42.3,0.705,0.029375
55CR,1528.0,0.037,0.00185,209.82,3.497,0.05828333333333333,0.002428472222222222
52V,1530.67,0.116,0.0023,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,1530.67,0.0462,0.002,1266.0,21.1,0.3516666666666667,0.014652777777777778
47V,1549.9,0.066,0.003,1956.0,32.6,0.5433333333333333,0.02263888888888889
55CO,1556.0,0.046,0.01,63108.0,1051.8,17.53,0.7304166666666667
51MN,1557.5,0.004,0.0005,2772.0,46.2,0.77,0.03208333333333333
49CR,1570.6,0.02,0.003,2538.0,42.3,0.705,0.029375
FE-53g,1619.9,0.5,0.09,510.6,8.51,0.14183333333333334,0.0059097222222222225
55CO,1622.3,0.045,0.006,63108.0,1051.8,17.53,0.7304166666666667
56CO,1640.475,0.0616,0.0019,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52g,1645.82,0.047,0.003,483062.4,8051.04,134.184,5.591
CO-58g,1674.725,0.517,0.01,6122304.0,102038.4,1700.64,70.86
FE-53m,1712.6,1.3,0.14,152.4,2.54,0.042333333333333334,0.001763888888888889
52V,1727.52,0.007,0.001,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52m,1727.53,0.216,0.01,1266.0,21.1,0.3516666666666667,0.014652777777777778
56CO,1771.357,15.41,0.06,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
55CO,1792.1,0.082,0.013,63108.0,1051.8,17.53,0.7304166666666667
47V,1793.9,0.191,0.00955,1956.0,32.6,0.5433333333333333,0.02263888888888889
56MN,1810.726,26.9,0.4,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,1810.757,0.64,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
51MN,1899.41,0.0064,0.0008,2772.0,46.2,0.77,0.03208333333333333
55CO,1940.6,0.014,0.006,63108.0,1051.8,17.53,0.7304166666666667
56CO,1963.741,0.707,0.004,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
52V,1981.1,0.005,0.001,224.58,3.7430000000000003,0.06238333333333334,0.0025993055555555557
MN-52g,1981.12,0.034,0.003,483062.4,8051.04,134.184,5.591
51MN,2001.35,0.0371,0.0021,2772.0,46.2,0.77,0.03208333333333333
47V,2003.1,0.0036,0.0004,1956.0,32.6,0.5433333333333333,0.02263888888888889
47V,2007.3,0.0099,0.0007,1956.0,32.6,0.5433333333333333,0.02263888888888889
56CO,2015.215,3.016,0.012,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
56CO,2034.791,7.77,0.03,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
MN-52m,2038.0,0.0079,0.001,1266.0,21.1,0.3516666666666667,0.014652777777777778
51MN,2079.62,0.0069,0.0006,2772.0,46.2,0.77,0.03208333333333333
49CR,2091.1,0.0004,9e-05,2538.0,42.3,0.705,0.029375
56MN,2113.092,14.2,0.3,9284.04,154.734,2.5789000000000004,0.10745416666666667
56CO,2113.135,0.377,0.003,6672931.0,111215.51666666666,1853.5919444444444,77.23299768518518
49CR,2143.7,0.00092,0.00014,2538.0,42.3,0.705,0.029375
55CO,2144.2,0.09,0.009,63108.0,1051.8,17.53,0.7304166666666667
