Isotope,Energy,Intensity,unc_intensity,Half life (s),Half life (m),half life (h),half life (d)
189PT,203.78,0.41,0.12,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,205.206,1.26,0.09,11113.2,185.22,3.087,0.12862500000000002
192IR,205.7943,3.31,0.03,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189IR,206.3,0.08,0.009,1140480.0,19008.0,316.8,13.2
IR-190g,207.91,1.19,0.16,1017792.0,16963.2,282.72,11.78
IR-190g,207.91,0.34,0.11,1017792.0,16963.2,282.72,11.78
189PT,212.72,0.09,0.03,39132.0,652.2,10.87,0.4529166666666667
189IR,216.7,0.52,0.06,1140480.0,19008.0,316.8,13.2
189IR,219.4,0.53,0.06,1140480.0,19008.0,316.8,13.2
189PT,223.34,1.3,0.3,39132.0,652.2,10.87,0.4529166666666667
IR-190g,223.81,3.74,0.22,1017792.0,16963.2,282.72,11.78
189IR,233.5,0.3,0.03,1140480.0,19008.0,316.8,13.2
IR-190g,235.5,0.42,0.03,1017792.0,16963.2,282.72,11.78
189PT,243.5,5.9,1.8,39132.0,652.2,10.87,0.4529166666666667
IR-194g,244.83,0.0077,0.0011,69408.0,1156.8,19.28,0.8033333333333333
189IR,245.1,6.0,0.3,1140480.0,19008.0,316.8,13.2
189PT,258.37,0.27,0.08,39132.0,652.2,10.87,0.4529166666666667
188IR,271.56,0.026,0.005,149400.0,2490.0,41.5,1.7291666666666667
189IR,275.8,0.54,0.06,1140480.0,19008.0,316.8,13.2
192IR,280.27,0.008,0.004,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188PT,280.3,0.31,0.04,881280.0,14688.0,244.8,10.2
IR-190g,282.93,0.48,0.09,1017792.0,16963.2,282.72,11.78
188PT,283.15,0.1,0.05,881280.0,14688.0,244.8,10.2
192IR,283.2668,0.266,0.003,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,284.58,0.008,0.008,39132.0,652.2,10.87,0.4529166666666667
189PT,284.58,0.13,0.05,39132.0,652.2,10.87,0.4529166666666667
IR-190g,288.22,1.64,0.15,1017792.0,16963.2,282.72,11.78
189PT,288.34,0.055,0.017,39132.0,652.2,10.87,0.4529166666666667
188PT,290.64,0.11,0.04,881280.0,14688.0,244.8,10.2
IR-194g,293.541,2.5,0.3,69408.0,1156.8,19.28,0.8033333333333333
IR-190g,294.75,6.6,0.7,1017792.0,16963.2,282.72,11.78
192IR,295.9565,28.71,0.07,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,300.51,3.2,0.9,39132.0,652.2,10.87,0.4529166666666667
IR-194g,300.741,0.35,0.05,69408.0,1156.8,19.28,0.8033333333333333
189PT,306.8,0.025,0.008,39132.0,652.2,10.87,0.4529166666666667
192IR,308.45507,29.7,0.07,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,312.0,0.197,0.021,149400.0,2490.0,41.5,1.7291666666666667
192IR,316.50618,82.86,4.143,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,317.65,2.8,0.7,39132.0,652.2,10.87,0.4529166666666667
188IR,322.91,1.62,0.15,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,328.448,13.1,1.7,69408.0,1156.8,19.28,0.8033333333333333
192IR,329.09,0.0173,0.0006,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,332.62,0.072,0.008,149400.0,2490.0,41.5,1.7291666666666667
189IR,343.2,0.055,0.007,1140480.0,19008.0,316.8,13.2
189PT,343.2,0.1,0.04,39132.0,652.2,10.87,0.4529166666666667
189PT,343.8,0.1,0.04,39132.0,652.2,10.87,0.4529166666666667
188IR,350.0,0.24,0.05,149400.0,2490.0,41.5,1.7291666666666667
189PT,351.1,0.11,0.04,39132.0,652.2,10.87,0.4529166666666667
IR-190g,361.09,13.0,0.6,1017792.0,16963.2,282.72,11.78
IR-190m2,361.2,86.72,0.21,11113.2,185.22,3.087,0.12862500000000002
IR-194g,364.867,0.041,0.005,69408.0,1156.8,19.28,0.8033333333333333
IR-190g,371.24,22.8,1.14,1017792.0,16963.2,282.72,11.78
192IR,374.4852,0.727,0.007,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,380.03,2.03,0.11,1017792.0,16963.2,282.72,11.78
188PT,381.43,7.5,0.5,881280.0,14688.0,244.8,10.2
188IR,383.47,0.035,0.006,149400.0,2490.0,41.5,1.7291666666666667
189PT,384.8,0.042,0.014,39132.0,652.2,10.87,0.4529166666666667
189PT,384.8,0.042,0.014,39132.0,652.2,10.87,0.4529166666666667
188IR,385.46,0.235,0.024,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,397.36,6.5,0.3,1017792.0,16963.2,282.72,11.78
189IR,402.8,0.0066,0.0009,1140480.0,19008.0,316.8,13.2
189PT,403.9,1.2,0.3,39132.0,652.2,10.87,0.4529166666666667
IR-190g,407.22,23.9,1.4,1017792.0,16963.2,282.72,11.78
IR-190g,407.22,4.6,0.7,1017792.0,16963.2,282.72,11.78
188IR,411.77,0.012,0.004,149400.0,2490.0,41.5,1.7291666666666667
188IR,413.73,0.035,0.006,149400.0,2490.0,41.5,1.7291666666666667
192IR,416.4688,0.67,0.021,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
192IR,420.51,0.069,0.007,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,420.63,1.64,0.08,1017792.0,16963.2,282.72,11.78
188PT,423.34,4.4,0.3,881280.0,14688.0,244.8,10.2
188IR,424.71,0.034,0.006,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,426.2,0.025,0.009,1017792.0,16963.2,282.72,11.78
189PT,430.84,0.13,0.04,39132.0,652.2,10.87,0.4529166666666667
IR-190g,431.62,2.74,0.18,1017792.0,16963.2,282.72,11.78
189IR,438.5,0.0036,0.0013,1140480.0,19008.0,316.8,13.2
IR-190g,447.81,2.55,0.16,1017792.0,16963.2,282.72,11.78
188IR,448.1,0.075,0.015,149400.0,2490.0,41.5,1.7291666666666667
188IR,453.26,0.031,0.012,149400.0,2490.0,41.5,1.7291666666666667
192IR,468.06885,47.84,0.03,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,477.8,1.82,0.21,1017792.0,16963.2,282.72,11.78
188IR,477.99,14.7,0.735,149400.0,2490.0,41.5,1.7291666666666667
188PT,478.3,1.8,0.3,881280.0,14688.0,244.8,10.2
IR-194g,482.86,0.046,0.006,69408.0,1156.8,19.28,0.8033333333333333
192IR,484.5751,3.19,0.03,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,485.23,0.73,0.16,1017792.0,16963.2,282.72,11.78
192IR,485.45,0.0047,0.0004,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,487.7,0.212,0.024,149400.0,2490.0,41.5,1.7291666666666667
192IR,489.06,0.438,0.015,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,490.76,0.78,0.05,1017792.0,16963.2,282.72,11.78
188IR,491.64,0.05,0.009,149400.0,2490.0,41.5,1.7291666666666667
189PT,493.3,0.27,0.08,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,502.5,89.38,0.2,11113.2,185.22,3.087,0.12862500000000002
IR-190g,502.55,1.25,0.08,1017792.0,16963.2,282.72,11.78
188IR,511.0,0.69,0.12,149400.0,2490.0,41.5,1.7291666666666667
189PT,511.0,0.9,0.5,39132.0,652.2,10.87,0.4529166666666667
188IR,514.77,0.131,0.014,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,518.55,34.0,1.5,1017792.0,16963.2,282.72,11.78
188IR,522.68,0.021,0.006,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,530.17,0.0159,0.0022,69408.0,1156.8,19.28,0.8033333333333333
189PT,530.42,0.2,0.05,39132.0,652.2,10.87,0.4529166666666667
188IR,534.21,0.013,0.006,149400.0,2490.0,41.5,1.7291666666666667
188IR,538.06,0.194,0.023,149400.0,2490.0,41.5,1.7291666666666667
189PT,539.85,0.24,0.07,39132.0,652.2,10.87,0.4529166666666667
189PT,544.91,4.9,1.3,39132.0,652.2,10.87,0.4529166666666667
IR-190g,557.95,30.1,1.3,1017792.0,16963.2,282.72,11.78
188IR,566.59,0.212,0.022,149400.0,2490.0,41.5,1.7291666666666667
189PT,568.85,6.0,1.6,39132.0,652.2,10.87,0.4529166666666667
IR-190g,569.3,28.5,1.3,1017792.0,16963.2,282.72,11.78
189PT,576.85,0.038,0.013,39132.0,652.2,10.87,0.4529166666666667
189PT,584.95,0.059,0.018,39132.0,652.2,10.87,0.4529166666666667
192IR,588.581,4.522,0.01,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-194g,589.179,0.14,0.019,69408.0,1156.8,19.28,0.8033333333333333
192IR,593.63,0.042,0.001,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,594.06,0.096,0.012,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,594.291,0.062,0.008,69408.0,1156.8,19.28,0.8033333333333333
189PT,594.6,0.09,0.03,39132.0,652.2,10.87,0.4529166666666667
188IR,596.41,0.026,0.006,149400.0,2490.0,41.5,1.7291666666666667
192IR,599.41,0.0039,0.0017,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,601.09,0.028,0.007,149400.0,2490.0,41.5,1.7291666666666667
192IR,604.41105,8.216,0.019,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,605.14,39.9,1.8,1017792.0,16963.2,282.72,11.78
189PT,607.6,4.7,1.5,39132.0,652.2,10.87,0.4529166666666667
189PT,607.6,2.2,1.0,39132.0,652.2,10.87,0.4529166666666667
IR-194g,607.61,0.0039,0.0006,69408.0,1156.8,19.28,0.8033333333333333
192IR,612.46215,5.34,0.07,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,615.39,0.47,0.03,1017792.0,16963.2,282.72,11.78
189PT,616.1,0.038,0.011,39132.0,652.2,10.87,0.4529166666666667
IR-190m2,616.5,90.14,0.2,11113.2,185.22,3.087,0.12862500000000002
IR-194g,621.29,0.0096,0.0018,69408.0,1156.8,19.28,0.8033333333333333
IR-194g,621.971,0.33,0.04,69408.0,1156.8,19.28,0.8033333333333333
189PT,623.15,0.13,0.06,39132.0,652.2,10.87,0.4529166666666667
189PT,623.15,0.06,0.04,39132.0,652.2,10.87,0.4529166666666667
189PT,627.08,2.0,0.5,39132.0,652.2,10.87,0.4529166666666667
IR-190g,628.4,0.75,0.09,1017792.0,16963.2,282.72,11.78
IR-190g,630.91,2.9,0.4,1017792.0,16963.2,282.72,11.78
IR-190g,631.0,0.84,0.23,1017792.0,16963.2,282.72,11.78
188IR,633.02,18.0,3.0,149400.0,2490.0,41.5,1.7291666666666667
188IR,634.91,5.0,0.8,149400.0,2490.0,41.5,1.7291666666666667
189PT,640.5,0.047,0.019,39132.0,652.2,10.87,0.4529166666666667
188IR,641.59,0.38,0.05,149400.0,2490.0,41.5,1.7291666666666667
189PT,644.3,0.54,0.15,39132.0,652.2,10.87,0.4529166666666667
IR-194g,645.146,1.18,0.16,69408.0,1156.8,19.28,0.8033333333333333
189PT,651.61,0.09,0.03,39132.0,652.2,10.87,0.4529166666666667
188IR,652.58,0.021,0.007,149400.0,2490.0,41.5,1.7291666666666667
189PT,655.61,0.04,0.012,39132.0,652.2,10.87,0.4529166666666667
IR-190g,656.02,1.16,0.08,1017792.0,16963.2,282.72,11.78
188IR,663.4,0.063,0.011,149400.0,2490.0,41.5,1.7291666666666667
188IR,667.43,0.047,0.01,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,668.1,0.052,0.014,1017792.0,16963.2,282.72,11.78
188IR,672.5,1.44,0.12,149400.0,2490.0,41.5,1.7291666666666667
189PT,673.31,0.037,0.011,39132.0,652.2,10.87,0.4529166666666667
189PT,678.95,0.038,0.011,39132.0,652.2,10.87,0.4529166666666667
IR-190g,690.04,0.28,0.03,1017792.0,16963.2,282.72,11.78
189PT,698.33,0.18,0.05,39132.0,652.2,10.87,0.4529166666666667
IR-194g,699.5,0.0025,0.0013,69408.0,1156.8,19.28,0.8033333333333333
IR-194g,700.55,0.026,0.005,69408.0,1156.8,19.28,0.8033333333333333
188IR,703.38,0.025,0.009,149400.0,2490.0,41.5,1.7291666666666667
192IR,703.78,0.0053,0.0007,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,708.35,0.03,0.01,39132.0,652.2,10.87,0.4529166666666667
IR-190g,709.1,0.073,0.012,1017792.0,16963.2,282.72,11.78
189PT,714.9,0.059,0.024,39132.0,652.2,10.87,0.4529166666666667
188IR,719.58,0.022,0.007,149400.0,2490.0,41.5,1.7291666666666667
189PT,721.38,7.9,2.1,39132.0,652.2,10.87,0.4529166666666667
IR-190g,726.22,3.78,0.16,1017792.0,16963.2,282.72,11.78
188IR,730.52,0.076,0.012,149400.0,2490.0,41.5,1.7291666666666667
189PT,733.73,0.3,0.09,39132.0,652.2,10.87,0.4529166666666667
189PT,735.78,0.32,0.11,39132.0,652.2,10.87,0.4529166666666667
188IR,736.56,0.29,0.03,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,740.19,0.194,0.017,1017792.0,16963.2,282.72,11.78
189PT,744.3,0.036,0.011,39132.0,652.2,10.87,0.4529166666666667
188IR,747.31,0.049,0.009,149400.0,2490.0,41.5,1.7291666666666667
188IR,752.09,0.075,0.012,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,753.0,0.025,0.007,1017792.0,16963.2,282.72,11.78
189PT,755.95,0.059,0.018,39132.0,652.2,10.87,0.4529166666666667
188IR,757.21,0.39,0.04,149400.0,2490.0,41.5,1.7291666666666667
188IR,763.91,0.031,0.007,149400.0,2490.0,41.5,1.7291666666666667
189PT,765.4,0.03,0.01,39132.0,652.2,10.87,0.4529166666666667
192IR,765.8,0.0013,0.0006,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
IR-190g,768.57,2.21,0.11,1017792.0,16963.2,282.72,11.78
189PT,782.09,0.051,0.016,39132.0,652.2,10.87,0.4529166666666667
189PT,788.45,0.05,0.03,39132.0,652.2,10.87,0.4529166666666667
189PT,788.45,0.06,0.04,39132.0,652.2,10.87,0.4529166666666667
189PT,792.67,1.1,0.3,39132.0,652.2,10.87,0.4529166666666667
188IR,794.17,0.037,0.008,149400.0,2490.0,41.5,1.7291666666666667
189PT,798.2,0.16,0.05,39132.0,652.2,10.87,0.4529166666666667
189PT,809.0,0.046,0.015,39132.0,652.2,10.87,0.4529166666666667
188IR,810.6,0.171,0.019,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,810.66,0.0025,0.0006,69408.0,1156.8,19.28,0.8033333333333333
189PT,811.05,0.11,0.03,39132.0,652.2,10.87,0.4529166666666667
IR-190g,821.78,0.324,0.023,1017792.0,16963.2,282.72,11.78
188IR,824.34,1.03,0.1,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,828.0,0.57,0.14,1017792.0,16963.2,282.72,11.78
189PT,828.06,0.25,0.08,39132.0,652.2,10.87,0.4529166666666667
IR-190g,828.99,3.5,0.3,1017792.0,16963.2,282.72,11.78
188IR,829.42,5.1,0.4,149400.0,2490.0,41.5,1.7291666666666667
189PT,836.0,0.071,0.02,39132.0,652.2,10.87,0.4529166666666667
IR-190g,839.14,1.14,0.06,1017792.0,16963.2,282.72,11.78
188IR,844.99,0.173,0.019,149400.0,2490.0,41.5,1.7291666666666667
189PT,855.73,0.02,0.007,39132.0,652.2,10.87,0.4529166666666667
IR-194g,857.12,0.0071,0.0012,69408.0,1156.8,19.28,0.8033333333333333
IR-194g,859.45,0.0017,0.0008,69408.0,1156.8,19.28,0.8033333333333333
189PT,880.05,0.071,0.022,39132.0,652.2,10.87,0.4529166666666667
192IR,884.5365,0.292,0.007,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,885.6,0.15,0.04,39132.0,652.2,10.87,0.4529166666666667
188IR,886.2,0.25,0.03,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,889.98,0.051,0.007,69408.0,1156.8,19.28,0.8033333333333333
188IR,895.33,0.14,0.016,149400.0,2490.0,41.5,1.7291666666666667
188IR,899.9,0.109,0.013,149400.0,2490.0,41.5,1.7291666666666667
189PT,902.6,0.027,0.009,39132.0,652.2,10.87,0.4529166666666667
188IR,909.68,0.034,0.009,149400.0,2490.0,41.5,1.7291666666666667
189PT,912.3,0.035,0.012,39132.0,652.2,10.87,0.4529166666666667
189PT,914.25,0.012,0.005,39132.0,652.2,10.87,0.4529166666666667
IR-190g,916.75,0.125,0.014,1017792.0,16963.2,282.72,11.78
189PT,924.75,0.24,0.07,39132.0,652.2,10.87,0.4529166666666667
IR-194g,925.26,0.0126,0.0018,69408.0,1156.8,19.28,0.8033333333333333
189PT,929.71,0.032,0.013,39132.0,652.2,10.87,0.4529166666666667
188IR,931.33,0.26,0.03,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,938.69,0.6,0.08,69408.0,1156.8,19.28,0.8033333333333333
188IR,939.57,0.66,0.06,149400.0,2490.0,41.5,1.7291666666666667
188IR,946.98,0.129,0.014,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,948.0,0.068,0.012,1017792.0,16963.2,282.72,11.78
189PT,952.0,0.017,0.007,39132.0,652.2,10.87,0.4529166666666667
IR-190g,952.3,0.098,0.016,1017792.0,16963.2,282.72,11.78
IR-190g,976.4,0.057,0.016,1017792.0,16963.2,282.72,11.78
188IR,979.42,0.059,0.012,149400.0,2490.0,41.5,1.7291666666666667
188IR,985.08,0.065,0.012,149400.0,2490.0,41.5,1.7291666666666667
189PT,986.63,0.061,0.019,39132.0,652.2,10.87,0.4529166666666667
188IR,987.43,0.93,0.1,149400.0,2490.0,41.5,1.7291666666666667
189PT,992.76,0.068,0.021,39132.0,652.2,10.87,0.4529166666666667
188IR,999.38,0.071,0.012,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1000.12,0.047,0.006,69408.0,1156.8,19.28,0.8033333333333333
189PT,1002.65,0.043,0.014,39132.0,652.2,10.87,0.4529166666666667
189PT,1007.8,0.081,0.025,39132.0,652.2,10.87,0.4529166666666667
189PT,1011.85,0.041,0.013,39132.0,652.2,10.87,0.4529166666666667
189PT,1011.85,0.041,0.013,39132.0,652.2,10.87,0.4529166666666667
188IR,1012.54,0.121,0.018,149400.0,2490.0,41.5,1.7291666666666667
188IR,1017.63,1.06,0.1,149400.0,2490.0,41.5,1.7291666666666667
189PT,1026.73,0.06,0.04,39132.0,652.2,10.87,0.4529166666666667
189PT,1026.73,0.23,0.07,39132.0,652.2,10.87,0.4529166666666667
IR-190g,1036.05,2.42,0.16,1017792.0,16963.2,282.72,11.78
189PT,1044.11,0.062,0.019,39132.0,652.2,10.87,0.4529166666666667
IR-194g,1048.64,0.026,0.004,69408.0,1156.8,19.28,0.8033333333333333
188IR,1052.11,0.034,0.01,149400.0,2490.0,41.5,1.7291666666666667
192IR,1061.49,0.0531,0.0006,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
189PT,1070.65,0.032,0.018,39132.0,652.2,10.87,0.4529166666666667
189PT,1070.65,0.032,0.018,39132.0,652.2,10.87,0.4529166666666667
189PT,1080.8,0.063,0.019,39132.0,652.2,10.87,0.4529166666666667
189PT,1089.55,0.024,0.007,39132.0,652.2,10.87,0.4529166666666667
192IR,1089.96,0.00116,0.00016,6378653.0,106310.88333333333,1771.8480555555554,73.82700231481482
188IR,1096.54,1.46,0.13,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1104.05,0.026,0.004,69408.0,1156.8,19.28,0.8033333333333333
189PT,1106.3,0.15,0.04,39132.0,652.2,10.87,0.4529166666666667
189PT,1108.73,0.079,0.022,39132.0,652.2,10.87,0.4529166666666667
IR-190g,1123.8,0.032,0.007,1017792.0,16963.2,282.72,11.78
188IR,1128.33,0.063,0.008,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,1133.77,0.43,0.03,1017792.0,16963.2,282.72,11.78
188IR,1142.54,0.37,0.08,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,1147.3,0.132,0.014,1017792.0,16963.2,282.72,11.78
188IR,1149.77,0.53,0.11,149400.0,2490.0,41.5,1.7291666666666667
IR-190g,1150.7,0.034,0.009,1017792.0,16963.2,282.72,11.78
IR-194g,1150.75,0.6,0.08,69408.0,1156.8,19.28,0.8033333333333333
IR-194g,1156.6,0.0018,0.0005,69408.0,1156.8,19.28,0.8033333333333333
189PT,1157.95,0.017,0.005,39132.0,652.2,10.87,0.4529166666666667
189PT,1159.6,0.017,0.005,39132.0,652.2,10.87,0.4529166666666667
IR-190g,1160.4,0.03,0.009,1017792.0,16963.2,282.72,11.78
189PT,1167.96,0.032,0.01,39132.0,652.2,10.87,0.4529166666666667
188IR,1174.59,1.32,0.14,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1175.38,0.061,0.008,69408.0,1156.8,19.28,0.8033333333333333
IR-194g,1183.49,0.31,0.04,69408.0,1156.8,19.28,0.8033333333333333
189PT,1184.15,0.03,0.009,39132.0,652.2,10.87,0.4529166666666667
IR-194g,1186.4,0.0084,0.0019,69408.0,1156.8,19.28,0.8033333333333333
189PT,1195.11,0.011,0.005,39132.0,652.2,10.87,0.4529166666666667
189PT,1198.5,0.015,0.005,39132.0,652.2,10.87,0.4529166666666667
IR-190g,1200.24,0.44,0.03,1017792.0,16963.2,282.72,11.78
188IR,1209.77,6.9,0.7,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1218.78,0.056,0.008,69408.0,1156.8,19.28,0.8033333333333333
189PT,1230.7,0.063,0.019,39132.0,652.2,10.87,0.4529166666666667
189PT,1240.66,0.017,0.006,39132.0,652.2,10.87,0.4529166666666667
188IR,1251.64,0.026,0.009,149400.0,2490.0,41.5,1.7291666666666667
189PT,1254.03,0.31,0.08,39132.0,652.2,10.87,0.4529166666666667
188IR,1286.35,0.032,0.012,149400.0,2490.0,41.5,1.7291666666666667
189PT,1292.35,0.009,0.003,39132.0,652.2,10.87,0.4529166666666667
IR-194g,1293.67,0.046,0.007,69408.0,1156.8,19.28,0.8033333333333333
188IR,1295.44,0.134,0.014,149400.0,2490.0,41.5,1.7291666666666667
189PT,1300.25,0.014,0.005,39132.0,652.2,10.87,0.4529166666666667
188IR,1302.29,0.33,0.03,149400.0,2490.0,41.5,1.7291666666666667
188IR,1304.7,0.19,0.03,149400.0,2490.0,41.5,1.7291666666666667
189PT,1305.25,0.011,0.004,39132.0,652.2,10.87,0.4529166666666667
188IR,1307.64,0.15,0.021,149400.0,2490.0,41.5,1.7291666666666667
IR-194g,1308.15,0.0013,0.00022,69408.0,1156.8,19.28,0.8033333333333333
189PT,1312.3,0.054,0.016,39132.0,652.2,10.87,0.4529166666666667
188IR,1322.96,0.4,0.04,149400.0,2490.0,41.5,1.7291666666666667
