natCu(d,x)63Zn					
					
					
	fit	fit			
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(mCi/uAh)	(MBq/uA)
43.0	64.31	3.11	1.23E+04	3.32E+02	7.50E+03
43.1	64.30	3.11	1.23E+04	3.32E+02	7.51E+03
43.2	64.28	3.11	1.23E+04	3.33E+02	7.53E+03
43.3	64.26	3.11	1.23E+04	3.34E+02	7.55E+03
43.4	64.24	3.11	1.24E+04	3.34E+02	7.56E+03
43.5	64.22	3.11	1.24E+04	3.35E+02	7.58E+03
43.6	64.21	3.11	1.24E+04	3.36E+02	7.60E+03
43.7	64.20	3.11	1.25E+04	3.37E+02	7.61E+03
43.8	64.19	3.10	1.25E+04	3.37E+02	7.63E+03
43.9	64.18	3.10	1.25E+04	3.38E+02	7.65E+03
44.0	64.18	3.10	1.25E+04	3.39E+02	7.66E+03
44.1	64.18	3.10	1.26E+04	3.40E+02	7.68E+03
44.2	64.19	3.11	1.26E+04	3.40E+02	7.70E+03
44.3	64.21	3.11	1.26E+04	3.41E+02	7.71E+03
44.4	64.22	3.11	1.26E+04	3.42E+02	7.73E+03
44.5	64.24	3.11	1.27E+04	3.42E+02	7.75E+03
44.6	64.26	3.11	1.27E+04	3.43E+02	7.76E+03
44.7	64.29	3.11	1.27E+04	3.44E+02	7.78E+03
44.8	64.31	3.11	1.28E+04	3.45E+02	7.80E+03
44.9	64.34	3.11	1.28E+04	3.45E+02	7.81E+03
45.0	64.37	3.21	1.28E+04	3.46E+02	7.83E+03
45.1	64.40	3.21	1.28E+04	3.47E+02	7.85E+03
45.2	64.43	3.21	1.29E+04	3.48E+02	7.86E+03
45.3	64.46	3.22	1.29E+04	3.48E+02	7.88E+03
45.4	64.49	3.22	1.29E+04	3.49E+02	7.90E+03
45.5	64.51	3.22	1.29E+04	3.50E+02	7.91E+03
45.6	64.54	3.22	1.30E+04	3.51E+02	7.93E+03
45.7	64.56	3.22	1.30E+04	3.51E+02	7.95E+03
45.8	64.58	3.22	1.30E+04	3.52E+02	7.97E+03
45.9	64.60	3.22	1.31E+04	3.53E+02	7.98E+03
46.0	64.61	3.22	1.31E+04	3.54E+02	8.00E+03
46.1	64.62	3.22	1.31E+04	3.55E+02	8.02E+03
46.2	64.62	3.22	1.31E+04	3.55E+02	8.03E+03
46.3	64.63	3.22	1.32E+04	3.56E+02	8.05E+03
46.4	64.62	3.22	1.32E+04	3.57E+02	8.07E+03
46.5	64.62	3.22	1.32E+04	3.58E+02	8.09E+03
46.6	64.61	3.22	1.33E+04	3.58E+02	8.10E+03
46.7	64.59	3.22	1.33E+04	3.59E+02	8.12E+03
46.8	64.58	3.22	1.33E+04	3.60E+02	8.14E+03
46.9	64.56	3.22	1.33E+04	3.61E+02	8.16E+03
47.0	64.54	3.22	1.34E+04	3.61E+02	8.17E+03
47.1	64.51	3.22	1.34E+04	3.62E+02	8.19E+03
47.2	64.48	3.22	1.34E+04	3.63E+02	8.21E+03
47.3	64.45	3.21	1.35E+04	3.64E+02	8.23E+03
47.4	64.42	3.21	1.35E+04	3.65E+02	8.24E+03
