#ZVView-data-copy:  22-May-2020 09:51:50
#=======================================
#
#name:   26-FE-0(D,X)27-CO-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  155
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         15.41         0.55      0.09011      0.00019  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.2%   
         15.42         0.26        0.099        0.011  # 1996,S.Takacs+           ## D4044004  #dY:11.1%  
        15.549        0.141      0.06116      0.00343  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.6%   
         15.95         0.33       0.0911       0.0058  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.4%   
         16.06         0.39        0.094        0.011  # 1996,S.Takacs+           ## D4044004  #dY:11.7%  
         16.08         0.25        0.091         0.01  # 1996,S.Takacs+           ## D4044004  #dY:11.0%  
        16.413        0.132      0.05505      0.00288  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.2%   
         16.47         0.31       0.0827        0.005  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.0%   
         16.71         0.37        0.087         0.01  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
         17.08         0.53      0.07621      0.00018  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.2%   
         17.11         0.31       0.0894       0.0052  # 2014,M.Avrigeanu+        ## D0672007  #dY:5.8%   
         17.13         0.31       0.0789       0.0046  # 2014,M.Avrigeanu+        ## D0672007  #dY:5.8%   
          17.3            0      0.10211      0.01489  # 2007,K.Ochiai+           ## E2121006  #dY:14.6%  
         17.33         0.35        0.082         0.01  # 1996,S.Takacs+           ## D4044004  #dY:12.2%  
        17.593        0.134      0.05302      0.00265  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.0%   
         17.91         0.52      0.07129      0.00017  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.2%   
         17.94         0.34        0.079       0.0092  # 1996,S.Takacs+           ## D4044004  #dY:11.6%  
         18.23         0.29       0.0749       0.0053  # 2014,M.Avrigeanu+        ## D0672007  #dY:7.1%   
          18.4          0.7        0.062        0.006  # 2000,A.Hermanne+         ## D4082003  #dY:9.7%   
         18.53         0.32        0.076       0.0088  # 1996,S.Takacs+           ## D4044004  #dY:11.6%  
        18.632        0.126      0.04671      0.00233  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.0%   
         18.69         0.29       0.0684       0.0041  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.0%   
         19.06            0      0.08225      0.01143  # 2007,K.Ochiai+           ## E2121006  #dY:13.9%  
