#ZVView-data-copy:   4-May-2020 19:19:25
#=======================================
#
#name:   26-FE-0(D,X)27-CO-56,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  110
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         32.38            0      0.10226      0.01361  # 2008,Ochiai           ## E2121005  #dY:13.3%  
          33.2          0.8       0.0782        0.009  # 2001,Takacs           ## D4081005  #dY:11.5%  
         33.56            0      0.09056      0.01196  # 2008,Ochiai           ## E2121005  #dY:13.2%  
         35.01            0      0.08604      0.01195  # 2008,Ochiai           ## E2121005  #dY:13.9%  
          35.2          0.7       0.0739       0.0087  # 2001,Takacs           ## D4081005  #dY:11.8%  
         36.58            0      0.07962      0.01142  # 2008,Ochiai           ## E2121005  #dY:14.3%  
            37          0.6       0.0674       0.0078  # 2001,Takacs           ## D4081005  #dY:11.6%  
          38.1            0      0.07181       0.0096  # 2008,Ochiai           ## E2121005  #dY:13.4%  
          38.8          0.6        0.059       0.0069  # 2001,Takacs           ## D4081005  #dY:11.7%  
         39.57            0      0.06779      0.00907  # 2008,Ochiai           ## E2121005  #dY:13.4%  
          40.6          0.5       0.0599       0.0072  # 2001,Takacs           ## D4081005  #dY:12.0%  
          42.3          0.5       0.0515       0.0063  # 2001,Takacs           ## D4081005  #dY:12.2%  
         43.67            0      0.05862      0.00759  # 2008,Ochiai           ## E2121005  #dY:12.9%  
          43.9          0.4       0.0488       0.0059  # 2001,Takacs           ## D4081005  #dY:12.1%  
          45.5          0.4       0.0435       0.0053  # 2001,Takacs           ## D4081005  #dY:12.2%  
          47.1          0.4       0.0442       0.0052  # 2001,Takacs           ## D4081005  #dY:11.8%  
         47.27            0      0.05135       0.0066  # 2008,Ochiai           ## E2121005  #dY:12.9%  
          48.6          0.3        0.039       0.0047  # 2001,Takacs           ## D4081005  #dY:12.1%          
//
#-------------------------------------------------------------------------------
