natCu(d,x)65Zn					
					
					
	fit	fit			
7.4	111.47	5.98	1.70E-02	4.59E-01	1.70E-02
7.5	116.46	6.25	1.85E-02	5.00E-01	1.85E-02
7.6	121.38	6.52	2.01E-02	5.42E-01	2.01E-02
7.7	126.20	6.77	2.17E-02	5.87E-01	2.17E-02
7.8	130.92	7.03	2.35E-02	6.34E-01	2.35E-02
7.9	135.54	7.28	2.53E-02	6.83E-01	2.53E-02
8.0	140.04	6.57	2.72E-02	7.34E-01	2.72E-02
8.1	144.42	6.77	2.91E-02	7.87E-01	2.91E-02
8.2	148.67	6.97	3.12E-02	8.43E-01	3.12E-02
8.3	152.79	7.17	3.33E-02	9.00E-01	3.33E-02
8.4	156.77	7.35	3.55E-02	9.59E-01	3.55E-02
8.5	160.59	7.53	3.77E-02	1.02E+00	3.77E-02
8.6	164.26	7.71	4.01E-02	1.08E+00	4.01E-02
8.7	167.78	7.87	4.24E-02	1.15E+00	4.24E-02
8.8	171.16	8.03	4.49E-02	1.21E+00	4.49E-02
8.9	174.39	8.18	4.74E-02	1.28E+00	4.74E-02
9.0	177.49	8.75	5.00E-02	1.35E+00	5.00E-02
9.1	180.46	8.89	5.27E-02	1.42E+00	5.27E-02
9.2	183.31	9.04	5.54E-02	1.50E+00	5.54E-02
9.3	186.04	9.17	5.82E-02	1.57E+00	5.82E-02
9.4	188.66	9.30	6.10E-02	1.65E+00	6.10E-02
9.5	191.16	9.42	6.39E-02	1.73E+00	6.39E-02
9.6	193.57	9.54	6.69E-02	1.81E+00	6.69E-02
9.7	195.88	9.65	6.99E-02	1.89E+00	6.99E-02
9.8	198.10	9.76	7.30E-02	1.97E+00	7.29E-02
9.9	200.23	9.87	7.61E-02	2.06E+00	7.61E-02
10.0	202.28	9.68	7.93E-02	2.14E+00	7.92E-02
10.1	204.26	9.78	8.25E-02	2.23E+00	8.25E-02
10.2	206.17	9.87	8.58E-02	2.32E+00	8.58E-02
10.3	208.01	9.96	8.91E-02	2.41E+00	8.91E-02
10.4	209.78	10.04	9.25E-02	2.50E+00	9.25E-02
10.5	211.49	10.12	9.59E-02	2.59E+00	9.59E-02
10.6	213.15	10.20	9.94E-02	2.69E+00	9.94E-02
10.7	214.75	10.28	1.03E-01	2.78E+00	1.03E-01
10.8	216.30	10.35	1.07E-01	2.88E+00	1.07E-01
10.9	217.81	10.43	1.10E-01	2.98E+00	1.10E-01
11.0	219.27	9.92	1.14E-01	3.08E+00	1.14E-01
11.1	220.69	9.98	1.18E-01	3.18E+00	1.18E-01
11.2	222.07	10.04	1.21E-01	3.28E+00	1.21E-01
11.3	223.43	10.10	1.25E-01	3.38E+00	1.25E-01
11.4	224.75	10.16	1.29E-01	3.49E+00	1.29E-01
11.5	226.04	10.22	1.33E-01	3.59E+00	1.33E-01
11.6	227.32	10.28	1.37E-01	3.70E+00	1.37E-01
11.7	228.57	10.34	1.41E-01	3.81E+00	1.41E-01
11.8	229.81	10.39	1.45E-01	3.92E+00	1.45E-01
11.9	231.03	10.45	1.49E-01	4.03E+00	1.49E-01
12.0	232.25	10.20	1.53E-01	4.14E+00	1.53E-01
12.1	233.46	10.25	1.57E-01	4.25E+00	1.57E-01
12.2	234.67	10.30	1.62E-01	4.37E+00	1.62E-01
12.3	235.86	10.36	1.66E-01	4.48E+00	1.66E-01
12.4	237.05	10.41	1.70E-01	4.60E+00	1.70E-01
12.5	238.23	10.46	1.75E-01	4.72E+00	1.75E-01
12.6	239.39	10.51	1.79E-01	4.84E+00	1.79E-01
12.7	240.54	10.56	1.83E-01	4.96E+00	1.83E-01
12.8	241.68	10.61	1.88E-01	5.08E+00	1.88E-01
12.9	242.80	10.66	1.93E-01	5.20E+00	1.93E-01
13.0	243.91	10.66	1.97E-01	5.33E+00	1.97E-01
13.1	244.99	10.71	2.02E-01	5.45E+00	2.02E-01
13.2	246.06	10.75	2.06E-01	5.58E+00	2.06E-01
13.3	247.10	10.80	2.11E-01	5.71E+00	2.11E-01
13.4	248.12	10.84	2.16E-01	5.84E+00	2.16E-01
13.5	249.12	10.89	2.21E-01	5.97E+00	2.21E-01
13.6	250.09	10.93	2.26E-01	6.10E+00	2.26E-01
13.7	251.04	10.97	2.31E-01	6.23E+00	2.31E-01
13.8	251.95	11.01	2.36E-01	6.37E+00	2.36E-01
13.9	252.84	11.05	2.41E-01	6.50E+00	2.41E-01
14.0	253.70	11.12	2.46E-01	6.64E+00	2.46E-01
14.1	254.53	11.15	2.51E-01	6.77E+00	2.51E-01
14.2	255.32	11.19	2.56E-01	6.91E+00	2.56E-01
14.3	256.07	11.22	2.61E-01	7.05E+00	2.61E-01
14.4	256.79	11.25	2.66E-01	7.19E+00	2.66E-01
14.5	257.46	11.28	2.71E-01	7.34E+00	2.71E-01
14.6	258.09	11.31	2.77E-01	7.48E+00	2.77E-01
14.7	258.67	11.34	2.82E-01	7.62E+00	2.82E-01
14.8	259.20	11.36	2.87E-01	7.77E+00	2.87E-01
14.9	259.69	11.38	2.93E-01	7.91E+00	2.93E-01
15.0	260.11	11.43	2.98E-01	8.06E+00	2.98E-01
15.1	260.49	11.45	3.04E-01	8.21E+00	3.04E-01
15.2	260.80	11.46	3.09E-01	8.36E+00	3.09E-01
15.3	261.05	11.47	3.15E-01	8.51E+00	3.15E-01
15.4	261.24	11.48	3.20E-01	8.66E+00	3.20E-01
15.5	261.36	11.49	3.26E-01	8.81E+00	3.26E-01
15.6	261.42	11.49	3.31E-01	8.96E+00	3.31E-01
15.7	261.40	11.49	3.37E-01	9.11E+00	3.37E-01
15.8	261.31	11.48	3.43E-01	9.26E+00	3.43E-01
15.9	261.15	11.48	3.48E-01	9.42E+00	3.48E-01
16.0	260.90	11.47	3.54E-01	9.57E+00	3.54E-01
16.1	260.58	11.45	3.60E-01	9.73E+00	3.60E-01
16.2	260.18	11.43	3.66E-01	9.88E+00	3.66E-01
16.3	259.69	11.41	3.71E-01	1.00E+01	3.71E-01
16.4	259.13	11.39	3.77E-01	1.02E+01	3.77E-01
16.5	258.50	11.36	3.83E-01	1.04E+01	3.83E-01
16.6	257.78	11.33	3.89E-01	1.05E+01	3.89E-01
16.7	257.00	11.29	3.95E-01	1.07E+01	3.95E-01
16.8	256.13	11.26	4.00E-01	1.08E+01	4.00E-01
16.9	255.20	11.21	4.06E-01	1.10E+01	4.06E-01
17.0	254.19	11.17	4.12E-01	1.11E+01	4.12E-01
17.1	253.11	11.12	4.18E-01	1.13E+01	4.18E-01
17.2	251.96	11.07	4.24E-01	1.14E+01	4.24E-01
17.3	250.74	11.02	4.29E-01	1.16E+01	4.29E-01
17.4	249.45	10.96	4.35E-01	1.18E+01	4.35E-01
17.5	248.09	10.90	4.41E-01	1.19E+01	4.41E-01
17.6	246.67	10.84	4.47E-01	1.21E+01	4.47E-01
17.7	245.18	10.77	4.53E-01	1.22E+01	4.53E-01
17.8	243.62	10.71	4.58E-01	1.24E+01	4.58E-01
17.9	242.01	10.64	4.64E-01	1.25E+01	4.64E-01
18.0	240.32	10.47	4.70E-01	1.27E+01	4.70E-01
18.1	238.58	10.40	4.75E-01	1.29E+01	4.75E-01
18.2	236.77	10.32	4.81E-01	1.30E+01	4.81E-01
18.3	234.91	10.24	4.87E-01	1.32E+01	4.87E-01
18.4	233.00	10.15	4.92E-01	1.33E+01	4.92E-01
18.5	231.04	10.07	4.98E-01	1.35E+01	4.98E-01
18.6	229.04	9.98	5.04E-01	1.36E+01	5.04E-01
18.7	226.99	9.89	5.09E-01	1.38E+01	5.09E-01
18.8	224.91	9.80	5.15E-01	1.39E+01	5.15E-01
18.9	222.80	9.71	5.20E-01	1.41E+01	5.20E-01
19.0	220.65	9.62	5.26E-01	1.42E+01	5.26E-01
19.1	218.48	9.52	5.31E-01	1.44E+01	5.31E-01
19.2	216.29	9.43	5.37E-01	1.45E+01	5.36E-01
19.3	214.08	9.33	5.42E-01	1.46E+01	5.42E-01
19.4	211.85	9.23	5.47E-01	1.48E+01	5.47E-01
19.5	209.62	9.14	5.52E-01	1.49E+01	5.52E-01
19.6	207.37	9.04	5.58E-01	1.51E+01	5.58E-01
19.7	205.12	8.94	5.63E-01	1.52E+01	5.63E-01
19.8	202.87	8.84	5.68E-01	1.54E+01	5.68E-01
19.9	200.63	8.74	5.73E-01	1.55E+01	5.73E-01
20.0	198.39	8.51	5.78E-01	1.56E+01	5.78E-01
20.1	196.16	8.41	5.83E-01	1.58E+01	5.83E-01
20.2	193.94	8.32	5.88E-01	1.59E+01	5.88E-01
20.3	191.73	8.22	5.93E-01	1.60E+01	5.93E-01
20.4	189.54	8.13	5.98E-01	1.62E+01	5.98E-01
20.5	187.35	8.04	6.03E-01	1.63E+01	6.03E-01
20.6	185.18	7.94	6.08E-01	1.64E+01	6.08E-01
20.7	183.02	7.85	6.13E-01	1.66E+01	6.13E-01
20.8	180.88	7.76	6.18E-01	1.67E+01	6.18E-01
20.9	178.74	7.67	6.22E-01	1.68E+01	6.22E-01
21.0	176.62	7.58	6.27E-01	1.70E+01	6.27E-01
21.1	174.52	7.49	6.32E-01	1.71E+01	6.32E-01
21.2	172.42	7.40	6.36E-01	1.72E+01	6.36E-01
21.3	170.35	7.31	6.41E-01	1.73E+01	6.41E-01
21.4	168.28	7.22	6.46E-01	1.74E+01	6.46E-01
21.5	166.23	7.13	6.50E-01	1.76E+01	6.50E-01
21.6	164.20	7.04	6.55E-01	1.77E+01	6.55E-01
21.7	162.18	6.96	6.59E-01	1.78E+01	6.59E-01
21.8	160.18	6.87	6.63E-01	1.79E+01	6.63E-01
21.9	158.20	6.79	6.68E-01	1.80E+01	6.68E-01
22.0	156.23	6.72	6.72E-01	1.82E+01	6.72E-01
22.1	154.27	6.63	6.76E-01	1.83E+01	6.76E-01
22.2	152.34	6.55	6.81E-01	1.84E+01	6.80E-01
22.3	150.42	6.47	6.85E-01	1.85E+01	6.85E-01
22.4	148.52	6.39	6.89E-01	1.86E+01	6.89E-01
22.5	146.64	6.31	6.93E-01	1.87E+01	6.93E-01
22.6	144.77	6.23	6.97E-01	1.88E+01	6.97E-01
22.7	142.93	6.15	7.01E-01	1.89E+01	7.01E-01
22.8	141.10	6.07	7.05E-01	1.91E+01	7.05E-01
22.9	139.30	5.99	7.09E-01	1.92E+01	7.09E-01
23.0	137.51	5.91	7.13E-01	1.93E+01	7.13E-01
23.1	135.74	5.84	7.17E-01	1.94E+01	7.17E-01
23.2	133.99	5.76	7.21E-01	1.95E+01	7.21E-01
23.3	132.26	5.69	7.24E-01	1.96E+01	7.24E-01
23.4	130.56	5.61	7.28E-01	1.97E+01	7.28E-01
23.5	128.87	5.54	7.32E-01	1.98E+01	7.32E-01
23.6	127.21	5.47	7.36E-01	1.99E+01	7.36E-01
23.7	125.57	5.40	7.39E-01	2.00E+01	7.39E-01
23.8	123.94	5.33	7.43E-01	2.01E+01	7.43E-01
23.9	122.35	5.26	7.47E-01	2.02E+01	7.46E-01
24.0	120.77	5.25	7.50E-01	2.03E+01	7.50E-01
24.1	119.22	5.19	7.54E-01	2.04E+01	7.54E-01
24.2	117.69	5.12	7.57E-01	2.05E+01	7.57E-01
24.3	116.18	5.05	7.60E-01	2.06E+01	7.60E-01
24.4	114.70	4.99	7.64E-01	2.06E+01	7.64E-01
24.5	113.24	4.93	7.67E-01	2.07E+01	7.67E-01
24.6	111.81	4.86	7.71E-01	2.08E+01	7.71E-01
24.7	110.40	4.80	7.74E-01	2.09E+01	7.74E-01
24.8	109.01	4.74	7.77E-01	2.10E+01	7.77E-01
24.9	107.66	4.68	7.80E-01	2.11E+01	7.80E-01
25.0	106.32	4.63	7.84E-01	2.12E+01	7.84E-01
25.1	105.02	4.57	7.87E-01	2.13E+01	7.87E-01
25.2	103.73	4.51	7.90E-01	2.14E+01	7.90E-01
25.3	102.48	4.46	7.93E-01	2.14E+01	7.93E-01
25.4	101.25	4.40	7.96E-01	2.15E+01	7.96E-01
25.5	100.04	4.35	7.99E-01	2.16E+01	7.99E-01
25.6	98.86	4.30	8.02E-01	2.17E+01	8.02E-01
25.7	97.70	4.25	8.05E-01	2.18E+01	8.05E-01
25.8	96.56	4.20	8.08E-01	2.18E+01	8.08E-01
25.9	95.45	4.15	8.11E-01	2.19E+01	8.11E-01
26.0	94.36	4.11	8.14E-01	2.20E+01	8.14E-01
26.1	93.29	4.07	8.17E-01	2.21E+01	8.17E-01
26.2	92.24	4.02	8.20E-01	2.22E+01	8.20E-01
26.3	91.21	3.98	8.23E-01	2.22E+01	8.23E-01
26.4	90.21	3.93	8.26E-01	2.23E+01	8.26E-01
26.5	89.22	3.89	8.29E-01	2.24E+01	8.29E-01
26.6	88.26	3.85	8.32E-01	2.25E+01	8.31E-01
26.7	87.31	3.81	8.34E-01	2.25E+01	8.34E-01
26.8	86.38	3.76	8.37E-01	2.26E+01	8.37E-01
26.9	85.48	3.73	8.40E-01	2.27E+01	8.40E-01
27.0	84.59	3.69	8.43E-01	2.28E+01	8.42E-01
27.1	83.72	3.65	8.45E-01	2.28E+01	8.45E-01
27.2	82.86	3.61	8.48E-01	2.29E+01	8.48E-01
27.3	82.03	3.57	8.51E-01	2.30E+01	8.50E-01
27.4	81.21	3.54	8.53E-01	2.31E+01	8.53E-01
27.5	80.41	3.50	8.56E-01	2.31E+01	8.56E-01
27.6	79.62	3.47	8.58E-01	2.32E+01	8.58E-01
27.7	78.85	3.44	8.61E-01	2.33E+01	8.61E-01
27.8	78.09	3.40	8.64E-01	2.33E+01	8.64E-01
27.9	77.35	3.37	8.66E-01	2.34E+01	8.66E-01
28.0	76.63	3.32	8.69E-01	2.35E+01	8.69E-01
28.1	75.91	3.28	8.71E-01	2.35E+01	8.71E-01
28.2	75.22	3.25	8.74E-01	2.36E+01	8.74E-01
28.3	74.53	3.22	8.76E-01	2.37E+01	8.76E-01
28.4	73.86	3.20	8.79E-01	2.37E+01	8.79E-01
28.5	73.20	3.17	8.81E-01	2.38E+01	8.81E-01
28.6	72.55	3.14	8.83E-01	2.39E+01	8.83E-01
28.7	71.92	3.11	8.86E-01	2.39E+01	8.86E-01
28.8	71.29	3.08	8.88E-01	2.40E+01	8.88E-01
28.9	70.68	3.06	8.91E-01	2.41E+01	8.91E-01
29.0	70.07	3.03	8.93E-01	2.41E+01	8.93E-01
29.1	69.48	3.01	8.95E-01	2.42E+01	8.95E-01
29.2	68.90	2.98	8.98E-01	2.43E+01	8.98E-01
29.3	68.32	2.96	9.00E-01	2.43E+01	9.00E-01
29.4	67.76	2.93	9.02E-01	2.44E+01	9.02E-01
29.5	67.20	2.91	9.05E-01	2.44E+01	9.05E-01
29.6	66.66	2.88	9.07E-01	2.45E+01	9.07E-01
29.7	66.11	2.86	9.09E-01	2.46E+01	9.09E-01
29.8	65.58	2.84	9.11E-01	2.46E+01	9.11E-01
29.9	65.06	2.81	9.14E-01	2.47E+01	9.14E-01
30.0	64.54	2.77	9.16E-01	2.48E+01	9.16E-01
30.1	64.02	2.74	9.18E-01	2.48E+01	9.18E-01
30.2	63.52	2.72	9.20E-01	2.49E+01	9.20E-01
30.3	63.02	2.70	9.22E-01	2.49E+01	9.22E-01
30.4	62.52	2.68	9.24E-01	2.50E+01	9.24E-01
30.5	62.03	2.66	9.27E-01	2.50E+01	9.27E-01
30.6	61.55	2.64	9.29E-01	2.51E+01	9.29E-01
30.7	61.07	2.62	9.31E-01	2.52E+01	9.31E-01
30.8	60.60	2.60	9.33E-01	2.52E+01	9.33E-01
30.9	60.13	2.58	9.35E-01	2.53E+01	9.35E-01
31.0	59.67	2.56	9.37E-01	2.53E+01	9.37E-01
31.1	59.22	2.54	9.39E-01	2.54E+01	9.39E-01
31.2	58.77	2.52	9.41E-01	2.54E+01	9.41E-01
31.3	58.33	2.50	9.43E-01	2.55E+01	9.43E-01
31.4	57.89	2.48	9.45E-01	2.55E+01	9.45E-01
31.5	57.46	2.46	9.47E-01	2.56E+01	9.47E-01
31.6	57.03	2.44	9.49E-01	2.57E+01	9.49E-01
31.7	56.61	2.43	9.51E-01	2.57E+01	9.51E-01
31.8	56.19	2.41	9.53E-01	2.58E+01	9.53E-01
31.9	55.78	2.39	9.55E-01	2.58E+01	9.55E-01
32.0	55.37	2.37	9.57E-01	2.59E+01	9.57E-01
32.1	54.97	2.36	9.59E-01	2.59E+01	9.59E-01
32.2	54.58	2.34	9.61E-01	2.60E+01	9.61E-01
32.3	54.19	2.32	9.63E-01	2.60E+01	9.63E-01
32.4	53.80	2.31	9.65E-01	2.61E+01	9.65E-01
32.5	53.42	2.29	9.67E-01	2.61E+01	9.67E-01
32.6	53.04	2.27	9.69E-01	2.62E+01	9.69E-01
32.7	52.67	2.26	9.71E-01	2.62E+01	9.71E-01
32.8	52.30	2.24	9.73E-01	2.63E+01	9.73E-01
32.9	51.94	2.23	9.75E-01	2.63E+01	9.75E-01
33.0	51.58	2.21	9.77E-01	2.64E+01	9.77E-01
33.1	51.23	2.20	9.79E-01	2.64E+01	9.78E-01
33.2	50.88	2.18	9.80E-01	2.65E+01	9.80E-01
33.3	50.54	2.17	9.82E-01	2.65E+01	9.82E-01
33.4	50.20	2.15	9.84E-01	2.66E+01	9.84E-01
33.5	49.86	2.14	9.86E-01	2.66E+01	9.86E-01
33.6	49.53	2.12	9.88E-01	2.67E+01	9.88E-01
33.7	49.20	2.11	9.90E-01	2.67E+01	9.90E-01
33.8	48.88	2.10	9.92E-01	2.68E+01	9.91E-01
33.9	48.56	2.08	9.93E-01	2.68E+01	9.93E-01
34.0	48.24	2.07	9.95E-01	2.69E+01	9.95E-01
34.1	47.93	2.05	9.97E-01	2.69E+01	9.97E-01
34.2	47.62	2.04	9.99E-01	2.70E+01	9.99E-01
34.3	47.32	2.03	1.00E+00	2.70E+01	1.00E+00
34.4	47.02	2.02	1.00E+00	2.71E+01	1.00E+00
34.5	46.73	2.00	1.00E+00	2.71E+01	1.00E+00
34.6	46.43	1.99	1.01E+00	2.72E+01	1.01E+00
34.7	46.15	1.98	1.01E+00	2.72E+01	1.01E+00
34.8	45.86	1.97	1.01E+00	2.73E+01	1.01E+00
34.9	45.58	1.95	1.01E+00	2.73E+01	1.01E+00
35.0	45.30	1.92	1.01E+00	2.74E+01	1.01E+00
35.1	45.03	1.91	1.01E+00	2.74E+01	1.01E+00
35.2	44.76	1.90	1.02E+00	2.75E+01	1.02E+00
35.3	44.49	1.89	1.02E+00	2.75E+01	1.02E+00
35.4	44.22	1.88	1.02E+00	2.76E+01	1.02E+00
35.5	43.96	1.86	1.02E+00	2.76E+01	1.02E+00
35.6	43.70	1.85	1.02E+00	2.77E+01	1.02E+00
35.7	43.45	1.84	1.03E+00	2.77E+01	1.03E+00
35.8	43.20	1.83	1.03E+00	2.78E+01	1.03E+00
35.9	42.95	1.82	1.03E+00	2.78E+01	1.03E+00
36.0	42.70	1.81	1.03E+00	2.78E+01	1.03E+00
36.1	42.46	1.80	1.03E+00	2.79E+01	1.03E+00
36.2	42.22	1.79	1.03E+00	2.79E+01	1.03E+00
36.3	41.98	1.78	1.04E+00	2.80E+01	1.04E+00
36.4	41.75	1.77	1.04E+00	2.80E+01	1.04E+00
36.5	41.52	1.76	1.04E+00	2.81E+01	1.04E+00
36.6	41.29	1.75	1.04E+00	2.81E+01	1.04E+00
36.7	41.06	1.74	1.04E+00	2.82E+01	1.04E+00
36.8	40.84	1.73	1.04E+00	2.82E+01	1.04E+00
36.9	40.62	1.72	1.05E+00	2.83E+01	1.05E+00
37.0	40.40	1.71	1.05E+00	2.83E+01	1.05E+00
37.1	40.19	1.70	1.05E+00	2.83E+01	1.05E+00
37.2	39.98	1.70	1.05E+00	2.84E+01	1.05E+00
37.3	39.77	1.69	1.05E+00	2.84E+01	1.05E+00
37.4	39.56	1.68	1.05E+00	2.85E+01	1.05E+00
37.5	39.35	1.67	1.06E+00	2.85E+01	1.06E+00
37.6	39.15	1.66	1.06E+00	2.86E+01	1.06E+00
37.7	38.95	1.65	1.06E+00	2.86E+01	1.06E+00
37.8	38.75	1.64	1.06E+00	2.87E+01	1.06E+00
37.9	38.56	1.64	1.06E+00	2.87E+01	1.06E+00
38.0	38.36	1.63	1.06E+00	2.87E+01	1.06E+00
38.1	38.17	1.62	1.06E+00	2.88E+01	1.06E+00
38.2	37.98	1.61	1.07E+00	2.88E+01	1.07E+00
38.3	37.80	1.60	1.07E+00	2.89E+01	1.07E+00
38.4	37.61	1.60	1.07E+00	2.89E+01	1.07E+00
38.5	37.43	1.59	1.07E+00	2.90E+01	1.07E+00
38.6	37.25	1.58	1.07E+00	2.90E+01	1.07E+00
38.7	37.07	1.57	1.07E+00	2.90E+01	1.07E+00
38.8	36.89	1.56	1.08E+00	2.91E+01	1.08E+00
38.9	36.71	1.56	1.08E+00	2.91E+01	1.08E+00
39.0	36.54	1.55	1.08E+00	2.92E+01	1.08E+00
39.1	36.37	1.54	1.08E+00	2.92E+01	1.08E+00
39.2	36.20	1.54	1.08E+00	2.93E+01	1.08E+00
39.3	36.03	1.53	1.08E+00	2.93E+01	1.08E+00
39.4	35.86	1.52	1.09E+00	2.93E+01	1.09E+00
39.5	35.70	1.51	1.09E+00	2.94E+01	1.09E+00
39.6	35.54	1.51	1.09E+00	2.94E+01	1.09E+00
39.7	35.37	1.50	1.09E+00	2.95E+01	1.09E+00
39.8	35.21	1.49	1.09E+00	2.95E+01	1.09E+00
39.9	35.05	1.49	1.09E+00	2.95E+01	1.09E+00
40.0	34.89	1.47	1.09E+00	2.96E+01	1.09E+00
40.1	34.74	1.46	1.10E+00	2.96E+01	1.10E+00
40.2	34.58	1.46	1.10E+00	2.97E+01	1.10E+00
40.3	34.43	1.45	1.10E+00	2.97E+01	1.10E+00
40.4	34.28	1.44	1.10E+00	2.97E+01	1.10E+00
40.5	34.13	1.44	1.10E+00	2.98E+01	1.10E+00
40.6	33.98	1.43	1.10E+00	2.98E+01	1.10E+00
40.7	33.83	1.43	1.11E+00	2.99E+01	1.10E+00
40.8	33.68	1.42	1.11E+00	2.99E+01	1.11E+00
40.9	33.53	1.41	1.11E+00	2.99E+01	1.11E+00
41.0	33.39	1.41	1.11E+00	3.00E+01	1.11E+00
41.1	33.24	1.40	1.11E+00	3.00E+01	1.11E+00
41.2	33.10	1.40	1.11E+00	3.01E+01	1.11E+00
41.3	32.96	1.39	1.11E+00	3.01E+01	1.11E+00
41.4	32.82	1.38	1.12E+00	3.01E+01	1.12E+00
41.5	32.68	1.38	1.12E+00	3.02E+01	1.12E+00
41.6	32.54	1.37	1.12E+00	3.02E+01	1.12E+00
41.7	32.41	1.37	1.12E+00	3.03E+01	1.12E+00
41.8	32.27	1.36	1.12E+00	3.03E+01	1.12E+00
41.9	32.14	1.35	1.12E+00	3.03E+01	1.12E+00
42.0	32.01	1.35	1.12E+00	3.04E+01	1.12E+00
42.1	31.87	1.34	1.13E+00	3.04E+01	1.13E+00
42.2	31.74	1.34	1.13E+00	3.05E+01	1.13E+00
42.3	31.61	1.33	1.13E+00	3.05E+01	1.13E+00
42.4	31.48	1.33	1.13E+00	3.05E+01	1.13E+00
42.5	31.36	1.32	1.13E+00	3.06E+01	1.13E+00
42.6	31.23	1.32	1.13E+00	3.06E+01	1.13E+00
42.7	31.10	1.31	1.13E+00	3.06E+01	1.13E+00
42.8	30.98	1.31	1.14E+00	3.07E+01	1.14E+00
42.9	30.86	1.30	1.14E+00	3.07E+01	1.14E+00
43.0	30.73	1.30	1.14E+00	3.08E+01	1.14E+00
43.1	30.61	1.29	1.14E+00	3.08E+01	1.14E+00
43.2	30.49	1.29	1.14E+00	3.08E+01	1.14E+00
43.3	30.37	1.28	1.14E+00	3.09E+01	1.14E+00
43.4	30.25	1.28	1.14E+00	3.09E+01	1.14E+00
43.5	30.14	1.27	1.15E+00	3.09E+01	1.15E+00
43.6	30.02	1.27	1.15E+00	3.10E+01	1.15E+00
43.7	29.90	1.26	1.15E+00	3.10E+01	1.15E+00
43.8	29.79	1.26	1.15E+00	3.11E+01	1.15E+00
43.9	29.68	1.25	1.15E+00	3.11E+01	1.15E+00
44.0	29.56	1.25	1.15E+00	3.11E+01	1.15E+00
44.1	29.45	1.24	1.15E+00	3.12E+01	1.15E+00
44.2	29.34	1.24	1.15E+00	3.12E+01	1.15E+00
44.3	29.23	1.23	1.16E+00	3.12E+01	1.16E+00
44.4	29.12	1.23	1.16E+00	3.13E+01	1.16E+00
44.5	29.01	1.22	1.16E+00	3.13E+01	1.16E+00
44.6	28.90	1.22	1.16E+00	3.14E+01	1.16E+00
44.7	28.80	1.21	1.16E+00	3.14E+01	1.16E+00
44.8	28.69	1.21	1.16E+00	3.14E+01	1.16E+00
44.9	28.59	1.20	1.16E+00	3.15E+01	1.16E+00
45.0	28.48	1.20	1.17E+00	3.15E+01	1.17E+00
45.1	28.38	1.20	1.17E+00	3.15E+01	1.17E+00
45.2	28.27	1.20	1.17E+00	3.16E+01	1.17E+00
45.3	28.17	1.19	1.17E+00	3.16E+01	1.17E+00
45.4	28.07	1.19	1.17E+00	3.16E+01	1.17E+00
45.5	27.97	1.18	1.17E+00	3.17E+01	1.17E+00
45.6	27.87	1.18	1.17E+00	3.17E+01	1.17E+00
45.7	27.77	1.17	1.17E+00	3.18E+01	1.17E+00
45.8	27.67	1.17	1.18E+00	3.18E+01	1.18E+00
45.9	27.57	1.17	1.18E+00	3.18E+01	1.18E+00
46.0	27.48	1.16	1.18E+00	3.19E+01	1.18E+00
46.1	27.38	1.16	1.18E+00	3.19E+01	1.18E+00
46.2	27.29	1.15	1.18E+00	3.19E+01	1.18E+00
