#ZVView-data-copy:  15-Jan-2025 12:17:47
#=======================================
#
#name:   28-NI-0(D,X)28-NI-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  160
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           6.3         1.65       0.0002         2e-5  # 2013,N.Amjed+            ## D4288005  #dY:10.0%  
           8.5         1.54       0.0002         3e-5  # 2013,N.Amjed+            ## D4288005  #dY:15.0%  
          10.2         1.46       0.0004         4e-5  # 2013,N.Amjed+            ## D4288005  #dY:10.0%  
          10.8         1.43       0.0005         7e-5  # 2013,N.Amjed+            ## D4288005  #dY:14.0%  
          11.5          1.4       0.0007      0.00011  # 2013,N.Amjed+            ## D4288005  #dY:15.7%  
          12.1         1.37       0.0011      0.00012  # 2013,N.Amjed+            ## D4288005  #dY:10.9%  
          14.8         1.24       0.0021      0.00025  # 2013,N.Amjed+            ## D4288005  #dY:11.9%  
          17.2         1.12       0.0034      0.00039  # 2013,N.Amjed+            ## D4288005  #dY:11.5%  
          19.4         1.01        0.006      0.00067  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          21.4         0.92       0.0096      0.00108  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          23.3         0.82       0.0159      0.00179  # 2013,N.Amjed+            ## D4288005  #dY:11.3%  
          24.9         0.75       0.0244      0.00276  # 2013,N.Amjed+            ## D4288005  #dY:11.3%  
          25.2         0.73       0.0242      0.00272  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          25.6         0.71        0.025      0.00284  # 2013,N.Amjed+            ## D4288005  #dY:11.4%  
          27.1         0.64       0.0311       0.0035  # 2013,N.Amjed+            ## D4288005  #dY:11.3%  
          28.7         0.56       0.0445      0.00501  # 2013,N.Amjed+            ## D4288005  #dY:11.3%  
          30.2         0.49       0.0481      0.00541  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          31.7         0.42       0.0522      0.00587  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          33.1         0.35       0.0569      0.00639  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          34.4         0.29       0.0595      0.00669  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          35.8         0.22        0.066      0.00741  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
            37         0.16       0.0664      0.00745  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          38.3          0.1       0.0575      0.00646  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          39.4         0.04       0.0621      0.00699  # 2013,N.Amjed+            ## D4288005  #dY:11.3%  
          39.7         0.03       0.0612      0.00687  # 2013,N.Amjed+            ## D4288005  #dY:11.2%  
          39.9         0.02       0.0613       0.0069  # 2013,N.Amjed+            ## D4288005  #dY:11.3%  
          9.82         0.54         8e-5         1e-5  # 2016,A.R.Usman+          ## E2492007  #dY:12.5%  
         11.35         0.66      0.00053         6e-5  # 2016,A.R.Usman+          ## E2492007  #dY:11.3%  
         12.77         0.65      0.00014         2e-5  # 2016,A.R.Usman+          ## E2492007  #dY:14.3%  
         14.15          0.6      0.00249       0.0002  # 2016,A.R.Usman+          ## E2492007  #dY:8.0%   
         14.67         0.61      0.00234      0.00017  # 2016,A.R.Usman+          ## E2492007  #dY:7.3%   
         15.48         0.57      0.00342      0.00025  # 2016,A.R.Usman+          ## E2492007  #dY:7.3%   
         17.45         0.54      0.00464      0.00033  # 2016,A.R.Usman+          ## E2492007  #dY:7.1%   
          18.1         0.54      0.00489      0.00035  # 2016,A.R.Usman+          ## E2492007  #dY:7.2%   
         19.31         0.33      0.00687      0.00049  # 2016,A.R.Usman+          ## E2492007  #dY:7.1%   
         20.67         0.51       0.0103       0.0007  # 2016,A.R.Usman+          ## E2492007  #dY:6.8%   
         21.75         0.51       0.0138        0.001  # 2016,A.R.Usman+          ## E2492007  #dY:7.2%   
         21.94         0.51       0.0179       0.0027  # 2016,A.R.Usman+          ## E2492007  #dY:15.1%  
         23.04         0.48       0.0186       0.0013  # 2016,A.R.Usman+          ## E2492007  #dY:7.0%   
         23.71         0.49       0.0209       0.0014  # 2016,A.R.Usman+          ## E2492007  #dY:6.7%   
//
#-------------------------------------------------------------------------------
